LUAD	FDR_LUAD	LUSC	FDR_LUSC
25	3.78E-06	ISX	1.82E-07
ANKS3	3.78E-06	THSD4	1.82E-07
HYMAI	3.80E-06	C1orf210	1.82E-07
NEURL	3.83E-06	GUSBP1	1.82E-07
GFM1	3.84E-06	ARHGEF9	1.84E-07
LOC644165	3.85E-06	TNFSF13B	1.85E-07
SPATA16	3.85E-06	RPL4	1.85E-07
PCDHB7	3.86E-06	MBD6	1.86E-07
COX10	3.87E-06	TSPY2	1.87E-07
FREM2	3.90E-06	VPS35	1.87E-07
SFXN5	3.91E-06	PRB1	1.88E-07
TCEAL3	3.91E-06	BBS9	1.89E-07
ZBTB25	3.91E-06	SLC7A10	1.89E-07
PDZK1IP1	3.91E-06	C4orf7	1.90E-07
HECTD3	3.93E-06	SULT1E1	1.90E-07
RDH16	3.94E-06	21	1.92E-07
IRF6	3.97E-06	KLHL3	1.93E-07
HAAO	4.00E-06	PAPSS1	1.93E-07
EIF2C3	4.00E-06	PHF21B	1.93E-07
FLJ36031	4.02E-06	ANKFN1	1.93E-07
RBPJL	4.02E-06	ZNF439	1.94E-07
RNASET2	4.04E-06	CALR3	1.94E-07
BTBD17	4.05E-06	TRIM54	1.94E-07
RPS21	4.05E-06	RNGTT	1.95E-07
ZFYVE26	4.05E-06	CEACAM5	1.95E-07
SHANK2	4.05E-06	C6orf211	1.96E-07
CEP152	4.06E-06	LMLN	1.97E-07
BCORL1	4.06E-06	REEP6	1.97E-07
PRRX1	4.09E-06	ZNF775	1.97E-07
C1orf50	4.13E-06	LOC100133331	1.97E-07
HSF5	4.14E-06	MIER1	1.97E-07
ABHD1	4.15E-06	DCAF8L2	1.97E-07
GAGE2C	4.15E-06	C2orf52	1.98E-07
PITRM1	4.15E-06	AKR1D1	2.02E-07
PYY	4.15E-06	FUT3	2.02E-07
ATP10D	4.16E-06	CHST7	2.04E-07
HDAC5	4.20E-06	PCNX	2.04E-07
SYCE1L	4.21E-06	FDPSL2A	2.05E-07
SNTG2	4.22E-06	CDC27	2.05E-07
BCAP29	4.23E-06	CHD9	2.05E-07
SPACA3	4.24E-06	CLK4	2.07E-07
PRR5-ARHGAP8	4.24E-06	RBPJ	2.07E-07
APOA4	4.28E-06	KIAA1033	2.08E-07
CWH43	4.29E-06	PCBP2	2.10E-07
GJA10	4.30E-06	TCIRG1	2.10E-07
EGFL8	4.32E-06	NSUN3	2.10E-07
TMEM167A	4.33E-06	KCNJ10	2.12E-07
FAM200A	4.35E-06	KIAA0895L	2.13E-07
KCNK10	4.36E-06	ZNF746	2.13E-07
APPL1	4.37E-06	DEDD	2.14E-07
LOC729234	4.38E-06	TF	2.14E-07
LOC644669	4.38E-06	LOC284798	2.16E-07
DZIP3	4.38E-06	HSF2	2.16E-07
CHMP4A	4.40E-06	CCDC125	2.16E-07
CALR3	4.40E-06	LTBP3	2.17E-07
ADAM22	4.41E-06	TPRA1	2.18E-07
NFRKB	4.42E-06	PDE11A	2.18E-07
ACSM2B	4.43E-06	FAM74A1	2.18E-07
C17orf97	4.43E-06	TRIM48	2.18E-07
HIST1H2BI	4.44E-06	BRD4	2.18E-07
CBL	4.46E-06	VPS16	2.19E-07
GRM2	4.47E-06	SIM1	2.19E-07
C5orf42	4.47E-06	CALM1	2.19E-07
CASR	4.51E-06	FLJ43663	2.21E-07
HSPA1A	4.52E-06	C21orf63	2.22E-07
KLHL5	4.56E-06	C8orf41	2.22E-07
TNNT2	4.57E-06	CDKN2C	2.23E-07
DUSP27	4.59E-06	SEMA6A	2.25E-07
MMAB	4.60E-06	SUMO1	2.25E-07
TMEM87A	4.62E-06	FAM160B1	2.25E-07
PDHX	4.63E-06	FEZ2	2.26E-07
BCAP31	4.64E-06	VAV1	2.27E-07
PA2G4P4	4.65E-06	TSHZ2	2.27E-07
C14orf119	4.66E-06	ZNF318	2.28E-07
SF3B1	4.66E-06	ICAM5	2.28E-07
ZFAT	4.67E-06	PIWIL2	2.28E-07
WTAP	4.70E-06	C3orf66	2.28E-07
PANK1	4.70E-06	ANKRD33	2.29E-07
CDV3	4.74E-06	SH3RF3	2.31E-07
RBMX2	4.75E-06	OTOS	2.31E-07
GNB1L	4.76E-06	DHDH	2.32E-07
KDM5C	4.77E-06	C19orf23	2.35E-07
C15orf58	4.77E-06	CBFA2T3	2.37E-07
UCN3	4.78E-06	DLG4	2.37E-07
KIF25	4.79E-06	ITIH4	2.38E-07
DNM2	4.80E-06	DHX40	2.38E-07
TOMM20	4.80E-06	LECT1	2.38E-07
PSMA4	4.82E-06	TPH1	2.38E-07
TPRXL	4.84E-06	TOMM6	2.39E-07
C12orf59	4.85E-06	FGF3	2.39E-07
DHX8	4.86E-06	FOXQ1	2.40E-07
GRAP2	4.87E-06	HK1	2.41E-07
CCDC55	4.88E-06	FGD6	2.41E-07
KLK9	4.90E-06	UBE2F	2.42E-07
ST7OT4	4.91E-06	TMBIM6	2.42E-07
FXR1	4.92E-06	C20orf117	2.45E-07
C14orf93	4.93E-06	RASL10A	2.46E-07
KBTBD10	4.96E-06	TCF4	2.46E-07
CCNG2	4.98E-06	DSEL	2.46E-07
LRIG1	5.03E-06	FKBP11	2.48E-07
ZNF282	5.03E-06	OR9A4	2.48E-07
COTL1	5.03E-06	EIF4EBP3	2.49E-07
MRPS18B	5.04E-06	BAT2L2	2.49E-07
GPR85	5.06E-06	DNM1P35	2.50E-07
CEACAM19	5.06E-06	SPR	2.50E-07
RPS2P32	5.09E-06	FAM195A	2.52E-07
ST8SIA1	5.10E-06	LIX1	2.53E-07
VAMP1	5.11E-06	TMX2	2.53E-07
FKTN	5.12E-06	CD1D	2.53E-07
RSPH6A	5.15E-06	OR11H4	2.54E-07
AKTIP	5.15E-06	LRRFIP2	2.56E-07
SH2D2A	5.17E-06	EIF3E	2.57E-07
SERPINA11	5.19E-06	CCNK	2.58E-07
ITGA5	5.20E-06	FBRSL1	2.58E-07
CHRM4	5.21E-06	RPL35	2.58E-07
GABARAPL2	5.22E-06	CLDN12	2.58E-07
UPK2	5.23E-06	ZNF8	2.60E-07
C6orf162	5.25E-06	C3orf63	2.61E-07
WIPF3	5.26E-06	AMOTL1	2.61E-07
LOC400657	5.28E-06	EP400NL	2.64E-07
INPP5F	5.29E-06	MRPS21	2.65E-07
LOC100124692	5.31E-06	OTOP1	2.65E-07
TMEM68	5.32E-06	NADSYN1	2.66E-07
PKD1	5.33E-06	PSG8	2.67E-07
BSND	5.34E-06	MIXL1	2.68E-07
CRAT	5.35E-06	TTC5	2.69E-07
CLEC10A	5.40E-06	SMG6	2.70E-07
NUDCD2	5.40E-06	KCNN4	2.70E-07
C9orf45	5.40E-06	NCOR2	2.71E-07
RNF41	5.41E-06	NFASC	2.71E-07
GLRB	5.41E-06	ETAA1	2.73E-07
CLEC2L	5.44E-06	ETF1	2.73E-07
RB1	5.45E-06	SFRS14	2.73E-07
HLA-DMA	5.51E-06	LOC728640	2.76E-07
PGAM4	5.52E-06	INSIG2	2.77E-07
ARL1	5.55E-06	ADCY2	2.77E-07
LGALS13	5.56E-06	FAM118A	2.78E-07
VAV2	5.56E-06	NR1D1	2.80E-07
LIAS	5.58E-06	ST13	2.80E-07
HORMAD2	5.59E-06	RECQL	2.80E-07
CCL1	5.60E-06	PDGFRB	2.80E-07
SLC23A2	5.63E-06	WDR5B	2.82E-07
DCTN1	5.63E-06	ATF7IP	2.83E-07
OBSL1	5.63E-06	TSPY1	2.83E-07
NOS1	5.65E-06	OASL	2.83E-07
RCN2	5.65E-06	BAIAP3	2.83E-07
PMF1	5.65E-06	DLGAP2	2.84E-07
SIL1	5.66E-06	ECSIT	2.86E-07
KRR1	5.66E-06	SMN2	2.86E-07
XPNPEP1	5.67E-06	BRSK2	2.88E-07
RNF6	5.67E-06	ARSD	2.90E-07
UHMK1	5.68E-06	AP1G2	2.91E-07
NCRNA00105	5.68E-06	FLJ37201	2.94E-07
SBNO1	5.71E-06	S100PBP	2.96E-07
ACAT1	5.74E-06	MOCOS	2.98E-07
PSMD8	5.74E-06	APBA3	2.98E-07
ZNF253	5.76E-06	C11orf31	3.02E-07
AVIL	5.76E-06	FAM157A	3.02E-07
TMC6	5.76E-06	CCDC14	3.02E-07
DYNC1LI2	5.78E-06	SUMF1	3.04E-07
LASP1	5.79E-06	MBOAT1	3.05E-07
CD58	5.81E-06	PTPN2	3.06E-07
PLCXD3	5.81E-06	GLIS3	3.06E-07
STRN3	5.91E-06	C16orf13	3.08E-07
TC2N	5.94E-06	MN1	3.09E-07
CDR2	5.96E-06	LCNL1	3.09E-07
CRIP3	5.96E-06	SYCP2	3.10E-07
TSPAN33	5.96E-06	SLC7A5P1	3.10E-07
TTLL11	6.00E-06	TMOD3	3.10E-07
LOC100132247	6.03E-06	C3orf14	3.10E-07
C5orf33	6.04E-06	XIRP2	3.11E-07
PUS3	6.06E-06	LOC728989	3.11E-07
LOC146880	6.13E-06	TP53INP2	3.11E-07
ATG7	6.13E-06	KIAA1598	3.12E-07
RPL29	6.18E-06	C6orf127	3.13E-07
NPPB	6.19E-06	TPTE	3.13E-07
USP30	6.20E-06	BBS12	3.13E-07
TDRD12	6.21E-06	CTAG2	3.13E-07
TAGLN	6.22E-06	TFE3	3.14E-07
C19orf28	6.24E-06	C2orf86	3.15E-07
MFN2	6.26E-06	ZMYM2	3.15E-07
PBOV1	6.26E-06	S100A14	3.16E-07
COG6	6.27E-06	PCDHB15	3.17E-07
TMC1	6.27E-06	EPS15L1	3.18E-07
ETFA	6.27E-06	ZBTB5	3.20E-07
THOC2	6.27E-06	KLHDC7A	3.20E-07
C11orf75	6.29E-06	ALX3	3.20E-07
LOC100132287	6.29E-06	NEK11	3.21E-07
RAB31	6.30E-06	C19orf29	3.22E-07
CAPN10	6.31E-06	OR2A7	3.25E-07
FAM188A	6.33E-06	GXYLT1	3.27E-07
ProSAPiP1	6.35E-06	ARHGAP42	3.28E-07
TRIAP1	6.42E-06	VOPP1	3.28E-07
USO1	6.43E-06	KRTCAP2	3.28E-07
FBXO4	6.43E-06	DOCK1	3.30E-07
GIF	6.43E-06	CILP	3.30E-07
PSMA7	6.47E-06	CP	3.30E-07
EIF4A1	6.47E-06	CDK12	3.31E-07
SSBP2	6.47E-06	SOD2	3.31E-07
ZNF821	6.48E-06	TMEM74	3.31E-07
USP11	6.48E-06	PDE4B	3.31E-07
MGC45800	6.49E-06	MORC1	3.31E-07
PSMC1	6.49E-06	18	3.34E-07
PLCZ1	6.50E-06	PROKR1	3.35E-07
AIMP1	6.51E-06	YES1	3.35E-07
TMX3	6.51E-06	TMEM108	3.37E-07
SNX31	6.52E-06	H6PD	3.38E-07
KLF8	6.55E-06	ZNF471	3.40E-07
GPX7	6.56E-06	COG2	3.42E-07
CPN2	6.59E-06	ADCY3	3.42E-07
TMPRSS15	6.64E-06	TCN2	3.42E-07
SNX8	6.66E-06	DDX3X	3.42E-07
VLDLR	6.67E-06	CDH2	3.42E-07
SLC2A11	6.69E-06	FGF21	3.43E-07
KLK15	6.69E-06	SSX2	3.45E-07
TIAM1	6.71E-06	CSF2RB	3.45E-07
FBF1	6.72E-06	CCDC85C	3.46E-07
BACH1	6.72E-06	ZP2	3.47E-07
NFKBIL1	6.72E-06	NCR1	3.47E-07
SLC25A4	6.74E-06	CCDC91	3.48E-07
TMEM149	6.74E-06	AIFM3	3.49E-07
SSX6	6.81E-06	FAM155A	3.49E-07
SHPK	6.81E-06	ROPN1	3.49E-07
CPLX3	6.81E-06	DDX28	3.51E-07
TYMP	6.82E-06	C8orf84	3.52E-07
NCDN	6.84E-06	AKAP9	3.54E-07
LRRC31	6.84E-06	ACSBG1	3.56E-07
LLGL1	6.87E-06	DDX31	3.56E-07
TMEM45A	6.89E-06	FAM160A1	3.57E-07
LOC149134	6.90E-06	KCNG3	3.60E-07
PIK3CG	6.91E-06	MRPL10	3.61E-07
PCSK2	6.94E-06	ATP5G2	3.61E-07
CCDC90A	6.96E-06	MOSPD2	3.61E-07
AKAP9	6.98E-06	STK25	3.62E-07
C4orf34	6.99E-06	EIF5B	3.68E-07
CYP19A1	6.99E-06	GUCY2C	3.68E-07
MYCNOS	7.01E-06	PER3	3.69E-07
SKA2	7.11E-06	SPINK5	3.69E-07
SPNS2	7.15E-06	ITGB1BP1	3.71E-07
CYP11B1	7.15E-06	SCN2A	3.71E-07
CALHM3	7.17E-06	MICALL2	3.73E-07
VIT	7.19E-06	PRICKLE4	3.73E-07
SLC27A2	7.20E-06	SEMA4F	3.73E-07
CUL2	7.20E-06	LRRC8E	3.74E-07
AKNA	7.20E-06	LDB1	3.75E-07
FAM89A	7.23E-06	GSTA3	3.76E-07
CDC73	7.26E-06	CACNA2D4	3.77E-07
GGT5	7.26E-06	CDK3	3.77E-07
MED19	7.28E-06	ALLC	3.78E-07
MDC1	7.30E-06	LRCH3	3.79E-07
PRSS8	7.31E-06	SLC16A3	3.81E-07
KCNJ16	7.31E-06	NR2F6	3.82E-07
PLEKHA5	7.32E-06	ATP2C2	3.82E-07
PSMB7	7.32E-06	SNUPN	3.82E-07
APLP2	7.34E-06	C6orf105	3.82E-07
UPRT	7.34E-06	RAB31	3.82E-07
CNTN4	7.35E-06	EPS8L3	3.82E-07
CAMKV	7.35E-06	FARS2	3.83E-07
INO80B	7.38E-06	NOX5	3.84E-07
RG9MTD2	7.40E-06	HEATR5B	3.84E-07
FAM74A3	7.43E-06	TRIM62	3.84E-07
C2orf54	7.45E-06	APOC4	3.87E-07
ARID3C	7.48E-06	MGC45800	3.88E-07
GP5	7.49E-06	MGAT2	3.88E-07
C6orf52	7.52E-06	C15orf57	3.90E-07
KCTD21	7.53E-06	TFIP11	3.90E-07
HOMER1	7.54E-06	ZNF132	3.94E-07
C9orf9	7.54E-06	RHCE	3.95E-07
C3orf50	7.59E-06	LOC100216001	3.96E-07
C6orf114	7.64E-06	FRMD7	3.97E-07
FAM71F1	7.65E-06	GZMH	3.97E-07
RAP1GAP2	7.68E-06	CPPED1	4.00E-07
HS3ST3A1	7.76E-06	LARP1	4.01E-07
GPAT2	7.79E-06	MUL1	4.04E-07
ZNF443	7.80E-06	DKFZp779M0652	4.04E-07
RCHY1	7.80E-06	TCL1B	4.06E-07
HCLS1	7.83E-06	AP2A1	4.07E-07
LOC100192378	7.83E-06	MED17	4.13E-07
SPPL2B	7.86E-06	METTL4	4.14E-07
ADH4	7.89E-06	MYOM2	4.15E-07
EDF1	7.89E-06	SLC22A15	4.15E-07
C4orf52	7.94E-06	ALX4	4.15E-07
BAZ1A	7.96E-06	TDRD6	4.17E-07
HHLA1	7.98E-06	C19orf50	4.18E-07
STK17B	7.98E-06	NPTXR	4.20E-07
GAB4	8.06E-06	BRMS1L	4.20E-07
ATXN7	8.12E-06	ZACN	4.21E-07
METTL14	8.17E-06	CLRN2	4.22E-07
ZNF70	8.20E-06	MOB2	4.24E-07
SYS1	8.22E-06	VNN2	4.24E-07
TMBIM1	8.28E-06	CASP6	4.25E-07
PRKCDBP	8.28E-06	C18orf1	4.34E-07
KIAA0947	8.29E-06	ATG5	4.38E-07
CCNDBP1	8.31E-06	IDI1	4.42E-07
PUM1	8.32E-06	PER2	4.44E-07
SCOC	8.35E-06	NELL2	4.49E-07
C2orf28	8.36E-06	SNRNP35	4.51E-07
CDKAL1	8.40E-06	KIAA0495	4.54E-07
FAM172A	8.40E-06	ATG4B	4.54E-07
C10orf125	8.40E-06	SMOC1	4.56E-07
PMEPA1	8.41E-06	CDSN	4.57E-07
CLCN1	8.41E-06	ZG16B	4.58E-07
HTR6	8.45E-06	SERTAD4	4.60E-07
TPR	8.46E-06	CRYAA	4.60E-07
HBXIP	8.46E-06	STXBP2	4.60E-07
PLA2G10	8.48E-06	NAA11	4.60E-07
KIAA1549	8.48E-06	SLC39A7	4.62E-07
ITGB2	8.48E-06	SAP30	4.62E-07
CCDC14	8.51E-06	FEZF2	4.63E-07
DCAF8L1	8.52E-06	PPP1R3D	4.64E-07
FNDC3B	8.62E-06	RNF113A	4.67E-07
C9orf103	8.63E-06	TUBA3D	4.68E-07
ESPNL	8.72E-06	CCBL1	4.69E-07
TTC31	8.72E-06	SERPINI2	4.69E-07
MSMP	8.73E-06	ACRBP	4.70E-07
LOC91149	8.73E-06	PARP14	4.75E-07
CPE	8.76E-06	FAM75A2	4.75E-07
SS18L2	8.76E-06	PIH1D1	4.77E-07
ATP6V0E2	8.78E-06	NBR1	4.81E-07
MAPK4	8.79E-06	LOC285359	4.82E-07
ANAPC16	8.83E-06	RFX7	4.82E-07
IRS1	8.84E-06	LRRC8B	4.83E-07
ETV3	8.86E-06	EMD	4.84E-07
MPRIP	8.87E-06	KIF3A	4.84E-07
C11orf90	8.87E-06	FLJ39582	4.86E-07
MGC16703	8.88E-06	TMEM87B	4.87E-07
RPGRIP1L	8.92E-06	HINFP	4.87E-07
SLC25A12	8.93E-06	C20orf199	4.90E-07
PTPN13	8.96E-06	RBMS1	4.91E-07
TMEM150A	9.01E-06	C2orf42	4.93E-07
C2orf88	9.02E-06	C10orf62	4.93E-07
CYSLTR1	9.03E-06	GRB7	4.95E-07
11-Mar	9.09E-06	RPS6KB1	4.95E-07
GKN2	9.09E-06	ADCK2	4.95E-07
SVOP	9.10E-06	ST6GALNAC2	4.96E-07
PORCN	9.13E-06	ELF5	4.97E-07
TXLNA	9.13E-06	CST6	4.99E-07
CCDC115	9.15E-06	NPY	4.99E-07
BCL9L	9.15E-06	CX3CL1	5.00E-07
AGPHD1	9.26E-06	CXorf40A	5.04E-07
C8orf47	9.28E-06	AGPAT4	5.08E-07
NFATC2IP	9.29E-06	CLCN1	5.08E-07
ESRRA	9.29E-06	GLIPR1L2	5.10E-07
MACC1	9.33E-06	DHX16	5.10E-07
DKKL1	9.40E-06	PHF19	5.12E-07
LRRC8B	9.41E-06	RIMBP2	5.12E-07
MTF1	9.42E-06	PTGER3	5.13E-07
UBE2G2	9.47E-06	UBB	5.15E-07
DENND1A	9.48E-06	LOC649330	5.17E-07
ZNF788	9.51E-06	DDX41	5.17E-07
C6orf122	9.51E-06	WAPAL	5.18E-07
INTS5	9.51E-06	C2orf28	5.20E-07
SLC34A3	9.56E-06	SNAP91	5.20E-07
USP49	9.64E-06	PHC2	5.22E-07
CHCHD4	9.65E-06	LRRC57	5.23E-07
SNRPB2	9.65E-06	MAP3K10	5.23E-07
STRADA	9.68E-06	FAM10A4	5.24E-07
C1orf64	9.77E-06	CROT	5.24E-07
SHISA9	9.84E-06	TPTE2	5.26E-07
ATF7IP	9.91E-06	WBP11P1	5.28E-07
KRT36	9.95E-06	MESTIT1	5.29E-07
CCKAR	1.00E-05	WDR24	5.31E-07
MYCBPAP	1.00E-05	HCG26	5.32E-07
FAM71E1	1.00E-05	tAKR	5.33E-07
MAP3K11	1.01E-05	ARHGAP26	5.36E-07
C3orf24	1.01E-05	ZDHHC4	5.40E-07
THAP3	1.01E-05	BEX5	5.41E-07
METTL3	1.02E-05	ZNF184	5.41E-07
IL4R	1.02E-05	VPS33A	5.48E-07
DYNC1I1	1.02E-05	C18orf18	5.51E-07
KCNH7	1.03E-05	CALCA	5.52E-07
GPR20	1.03E-05	RPS6KA4	5.54E-07
PDS5A	1.03E-05	PSG2	5.55E-07
ROS1	1.03E-05	LOC149134	5.57E-07
PTER	1.03E-05	DEFA5	5.58E-07
C1orf230	1.03E-05	EDN2	5.59E-07
RYR3	1.03E-05	CHST14	5.60E-07
FOSL2	1.03E-05	C12orf29	5.60E-07
PAQR8	1.04E-05	EXOSC6	5.63E-07
ING1	1.04E-05	OR10H1	5.64E-07
LOC221122	1.04E-05	SLC41A1	5.66E-07
RAI1	1.05E-05	CDS1	5.67E-07
HES1	1.05E-05	IMP3	5.68E-07
RTCD1	1.05E-05	PLK5P	5.69E-07
CLCA1	1.05E-05	PLAT	5.69E-07
SLC28A3	1.05E-05	SGTA	5.69E-07
F2RL2	1.05E-05	CCNDBP1	5.69E-07
PCGF2	1.05E-05	JRKL	5.77E-07
SHISA3	1.05E-05	FXYD4	5.82E-07
FEZ2	1.05E-05	ATP2C1	5.83E-07
HSD3B1	1.06E-05	BCL2A1	5.84E-07
C9orf46	1.06E-05	STAC2	5.85E-07
CTBP1	1.06E-05	LUZP4	5.87E-07
SURF6	1.06E-05	MYO7A	5.89E-07
LOC100131496	1.07E-05	PPP2R2B	5.91E-07
SAA2	1.07E-05	GAGE2E	5.97E-07
GRIN2C	1.07E-05	FAM116B	5.99E-07
DYNC2LI1	1.08E-05	DUSP26	6.00E-07
PKD1L1	1.08E-05	KIR3DX1	6.00E-07
STK24	1.08E-05	CMBL	6.01E-07
ZNF205	1.09E-05	RAB7A	6.06E-07
TNFRSF4	1.09E-05	C15orf34	6.08E-07
CYB5D2	1.09E-05	DAZL	6.08E-07
HIST1H2AB	1.10E-05	REG4	6.09E-07
PARN	1.10E-05	CREM	6.17E-07
FANCE	1.10E-05	GAGE13	6.17E-07
PDLIM7	1.10E-05	CCL27	6.17E-07
METTL12	1.10E-05	CTAGE6	6.17E-07
RAD51L3	1.11E-05	PKHD1	6.18E-07
C8A	1.12E-05	GALNT5	6.19E-07
FREM1	1.12E-05	DNAJC28	6.20E-07
CD1A	1.12E-05	PABPC4	6.21E-07
ZNF565	1.12E-05	UGT2B4	6.34E-07
FDX1L	1.12E-05	FBXO30	6.35E-07
PTPN14	1.13E-05	FLJ45983	6.35E-07
CMC1	1.14E-05	ABTB2	6.36E-07
GLRX	1.14E-05	FAM19A4	6.36E-07
MMP16	1.15E-05	PRKRA	6.38E-07
CFHR5	1.15E-05	DUOX2	6.38E-07
NR4A2	1.15E-05	CYP4A11	6.41E-07
CCDC82	1.15E-05	PPIL2	6.41E-07
SCFD2	1.15E-05	LCE2B	6.43E-07
CSDE1	1.15E-05	DFNB31	6.44E-07
MAN1A2	1.15E-05	COPA	6.47E-07
NLRP8	1.16E-05	MPV17L	6.50E-07
LOC100128675	1.16E-05	LSAMP	6.51E-07
ERICH1	1.17E-05	C6orf182	6.53E-07
C11orf36	1.17E-05	PRODH	6.56E-07
ODF2	1.18E-05	UFM1	6.58E-07
WDR69	1.18E-05	KRTAP3-2	6.59E-07
CYP4F8	1.18E-05	C2orf71	6.62E-07
SLC2A6	1.18E-05	CLN3	6.65E-07
FAM73B	1.19E-05	CCDC136	6.71E-07
APOC3	1.19E-05	DNAH2	6.71E-07
FLJ43950	1.19E-05	PGP	6.72E-07
BPIL2	1.19E-05	TGFB2	6.76E-07
ASCC1	1.19E-05	ZNF691	6.77E-07
KDM3A	1.19E-05	TSHB	6.79E-07
CACNG5	1.19E-05	CHRNA7	6.80E-07
DHX33	1.20E-05	ZSCAN18	6.84E-07
SIRT6	1.20E-05	RBM4B	6.86E-07
TMC4	1.20E-05	RTP1	6.89E-07
C14orf181	1.21E-05	UNK	6.91E-07
MESDC2	1.21E-05	ZNF300	6.92E-07
GCFC1	1.21E-05	NUDT9	6.93E-07
ACAD10	1.21E-05	LOC647309	6.97E-07
SOX1	1.21E-05	MED8	7.03E-07
RPP38	1.21E-05	RPL13P5	7.04E-07
C5orf39	1.22E-05	CPNE9	7.07E-07
SETD1A	1.24E-05	C14orf180	7.07E-07
PRND	1.24E-05	ABHD4	7.09E-07
GPSM3	1.24E-05	ZC3H11A	7.10E-07
UQCRC1	1.24E-05	ZBTB7C	7.13E-07
GSK3A	1.24E-05	EMX2	7.15E-07
CRNKL1	1.25E-05	CHD2	7.16E-07
GALM	1.25E-05	FUS	7.16E-07
CRB2	1.25E-05	CT45A1	7.16E-07
MRPL16	1.26E-05	BMP8B	7.17E-07
ALAD	1.26E-05	TMEM211	7.22E-07
ABCC6	1.26E-05	POU3F3	7.23E-07
NUDT9	1.26E-05	POM121L2	7.27E-07
SLC22A6	1.26E-05	HEXA	7.27E-07
POP5	1.27E-05	MTDH	7.28E-07
HMGXB3	1.28E-05	C1orf85	7.29E-07
DCI	1.28E-05	TMEM114	7.34E-07
FCHSD1	1.29E-05	WDFY2	7.37E-07
ZNF85	1.29E-05	RPS17	7.38E-07
FBXL21	1.29E-05	C9orf16	7.44E-07
C5orf58	1.30E-05	ONECUT3	7.47E-07
BBOX1	1.30E-05	HOXB1	7.47E-07
GAGE12J	1.30E-05	TULP4	7.47E-07
ZNF596	1.31E-05	PYGL	7.47E-07
GPR89B	1.31E-05	LOC606724	7.49E-07
NDUFB3	1.31E-05	MOV10	7.49E-07
SECISBP2	1.31E-05	POTEH	7.50E-07
DYNLT1	1.32E-05	LOC100272146	7.51E-07
FAM65B	1.33E-05	PHF2	7.52E-07
CT47A1	1.33E-05	ELAVL4	7.53E-07
KDR	1.33E-05	C4orf3	7.57E-07
CRCT1	1.33E-05	ADAL	7.57E-07
KLHL9	1.34E-05	TSPY4	7.57E-07
TFAP2E	1.34E-05	CPN1	7.57E-07
MYH1	1.34E-05	TMCO6	7.58E-07
DRGX	1.34E-05	CLDN22	7.64E-07
ZFR	1.34E-05	THBD	7.67E-07
RNF126P1	1.34E-05	TOB1	7.73E-07
ZCWPW2	1.35E-05	ATXN7L2	7.78E-07
SEPHS1	1.35E-05	CTSE	7.80E-07
CYP2C19	1.35E-05	HNRNPF	7.82E-07
PAGE4	1.35E-05	C8orf59	7.85E-07
PALLD	1.35E-05	IKZF5	7.86E-07
ITGB3	1.36E-05	GOLGA4	7.87E-07
RPRD1B	1.36E-05	SEMA5B	7.87E-07
BAZ1B	1.36E-05	PARP8	7.88E-07
LOC100133331	1.36E-05	SYAP1	7.93E-07
TCAP	1.37E-05	NTSR2	7.93E-07
PHB2	1.37E-05	NAP1L5	7.93E-07
ZP2	1.37E-05	TMEM199	7.98E-07
PAX3	1.39E-05	UBAP2	7.98E-07
HLA-DQB1	1.39E-05	SLC35B3	7.99E-07
FGF13	1.39E-05	RNF8	7.99E-07
TOP3A	1.39E-05	SAFB	8.02E-07
GPR26	1.40E-05	ARG2	8.03E-07
MAN2A1	1.40E-05	TAF1B	8.04E-07
HRH3	1.40E-05	DCTN2	8.05E-07
DHRS4L2	1.41E-05	DNAJC10	8.05E-07
VCX3B	1.41E-05	ASTL	8.09E-07
POU4F3	1.41E-05	GIPC1	8.09E-07
C18orf22	1.42E-05	AKAP7	8.09E-07
RABEPK	1.42E-05	S100Z	8.10E-07
PLCB1	1.42E-05	WEE1	8.11E-07
SPATA19	1.42E-05	ATCAY	8.17E-07
PLOD3	1.42E-05	SRGAP2	8.18E-07
ANXA13	1.42E-05	FBXO28	8.20E-07
GABRB1	1.43E-05	LOC100190940	8.22E-07
SNHG10	1.43E-05	SLC39A12	8.26E-07
ZNF354B	1.43E-05	TMEM203	8.27E-07
DNAJC4	1.44E-05	TM6SF2	8.28E-07
HES4	1.45E-05	NFKBIL1	8.29E-07
MTMR1	1.45E-05	IL1B	8.30E-07
LEPROTL1	1.45E-05	GALR3	8.35E-07
ACCN3	1.45E-05	PSMD9	8.35E-07
PLCB2	1.45E-05	RBP3	8.45E-07
SAMD4B	1.46E-05	ETFB	8.47E-07
SMPD1	1.46E-05	SLC37A3	8.49E-07
CYP2A13	1.47E-05	SON	8.50E-07
LPCAT4	1.47E-05	TMEM27	8.52E-07
ZNF749	1.47E-05	ETV6	8.53E-07
MRPL53	1.47E-05	POU2AF1	8.54E-07
ATP6V1C1	1.47E-05	ZNF469	8.54E-07
EBI3	1.48E-05	ICOS	8.64E-07
ZC3H7B	1.48E-05	PYHIN1	8.66E-07
FNIP2	1.48E-05	CTTNBP2NL	8.67E-07
CYP2C18	1.48E-05	NUPL1	8.68E-07
DENND5B	1.49E-05	LOC338651	8.69E-07
S100A7A	1.49E-05	DCAF8L1	8.70E-07
RPL23	1.49E-05	STEAP2	8.71E-07
GSDMA	1.50E-05	ABLIM1	8.71E-07
TNIK	1.50E-05	EXT2	8.73E-07
