Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
BAIAP2L1,1.04054322,5.147018759,10.26136839,1.02E-19,7.02E-19,33.34143724
CCT6A,1.079457884,7.289490686,10.25997472,1.03E-19,7.07E-19,33.37490646
FAM114A1,0.802995068,5.609741961,10.24791302,1.11E-19,7.61E-19,33.23863308
PCNA,1.084927988,7.344051154,10.24080327,1.17E-19,7.95E-19,33.25386594
COPG1,0.601751879,7.493539303,10.20321801,1.49E-19,1.01E-18,33.01961476
COASY,0.709235861,5.858920934,10.20112767,1.51E-19,1.02E-18,32.93614326
GSS,0.678689766,4.77101857,10.18400345,1.69E-19,1.14E-18,33.01332353
CASP3,0.661535414,5.294366838,10.16515371,1.91E-19,1.29E-18,32.70579808
DCTPP1,0.937124951,5.66678585,10.162311,1.94E-19,1.30E-18,32.68379121
IGHG4,3.118770413,6.483885851,10.12740238,2.44E-19,1.63E-18,32.47507329
HMGN1,0.631939825,6.396217911,10.1261621,2.46E-19,1.64E-18,32.46404288
IDH2,0.96003862,6.977696043,10.12421553,2.49E-19,1.65E-18,32.47811567
MEST,1.251297106,4.902284179,10.11344978,2.67E-19,1.77E-18,32.46834501
YKT6,0.707864348,5.541705133,10.10149194,2.89E-19,1.91E-18,32.29127528
H2AX,1.144976959,5.973305693,10.09956007,2.92E-19,1.93E-18,32.28153776
ZC3H15,0.561844102,6.113055279,10.09424208,3.03E-19,2.00E-18,32.25063854
GPN1,0.675076305,5.042961426,10.09181043,3.07E-19,2.02E-18,32.26726826
SSBP1,0.692759445,5.23370218,10.05466842,3.91E-19,2.56E-18,31.99477678
SRP9,0.730937004,7.827559008,10.04446349,4.18E-19,2.73E-18,32.01469015
STEAP1,2.244437566,4.512593443,10.04207735,4.25E-19,2.77E-18,32.31621639
LSR,1.038283838,7.496877969,10.03299131,4.50E-19,2.93E-18,31.91978821
TMED9,0.661581739,7.578528191,10.03186431,4.54E-19,2.95E-18,31.91775327
CASP6,0.846435669,5.136736348,10.02839867,4.64E-19,3.01E-18,31.83626381
EXOSC5,1.087713167,5.232885546,10.01695102,5.00E-19,3.23E-18,31.75159668
PDCD5,0.762138934,5.858279178,9.990888541,5.91E-19,3.80E-18,31.57811689
MROH6,1.590924492,3.965712038,9.974022463,6.60E-19,4.23E-18,32.23853154
PRPF19,0.611649076,6.855359594,9.97386507,6.60E-19,4.23E-18,31.50173374
ZNF217,1.063507514,5.037969394,9.971128637,6.72E-19,4.30E-18,31.49072473
MARS1,0.773496011,5.49709472,9.955853578,7.42E-19,4.73E-18,31.35249857
NOP58,0.733247905,5.398675498,9.940176594,8.21E-19,5.23E-18,31.25227789
ERGIC3,0.614530152,7.084160768,9.93831644,8.31E-19,5.28E-18,31.28545788
SF3B6,0.671333628,7.365596597,9.932298948,8.64E-19,5.47E-18,31.26327623
NSUN5,0.79795891,4.599893271,9.925826492,9.01E-19,5.67E-18,31.49287497
DENR,0.670087942,5.954162509,9.925439296,9.03E-19,5.68E-18,31.15894185
ABCC3,1.823102667,5.168200028,9.914038788,9.72E-19,6.11E-18,31.09561331
TTYH3,1.280702097,5.836667442,9.910160364,9.97E-19,6.26E-18,31.05844403
NET1,1.177545947,6.381483526,9.902922812,1.04E-18,6.54E-18,31.02486766
TMEM258,0.618921099,5.481121867,9.898331383,1.08E-18,6.72E-18,30.98276817
PFDN2,0.843533551,7.760208679,9.897307098,1.08E-18,6.76E-18,31.0635108
THBS2,2.382665023,4.240695844,9.882686639,1.19E-18,7.40E-18,31.50111495
COPA,0.664714905,7.050165715,9.877845161,1.23E-18,7.62E-18,30.89503789
XRCC5,0.514076904,7.512952407,9.876865878,1.24E-18,7.66E-18,30.91645884
LIMK1,0.977795403,5.085881789,9.875418533,1.25E-18,7.72E-18,30.86215929
USP39,0.57611441,5.652130666,9.839998526,1.57E-18,9.61E-18,30.60741095
CCT8,0.576468595,7.052996136,9.837469151,1.59E-18,9.76E-18,30.63617642
SSR1,0.585501599,5.848456585,9.82548702,1.72E-18,1.05E-17,30.51520097
SULF1,2.14614111,4.825934266,9.822776936,1.75E-18,1.07E-17,30.64672871
NQO1,2.320625464,6.601822437,9.821080186,1.77E-18,1.08E-17,30.50807236
DAP,0.877479935,7.61213271,9.816740474,1.82E-18,1.11E-17,30.53728403
SEC24D,0.77471169,4.767672813,9.812201067,1.88E-18,1.14E-17,30.62213335
TIMM23,0.651258019,6.902827158,9.810496488,1.90E-18,1.15E-17,30.45510825
DSP,2.035293325,5.985375431,9.807030915,1.94E-18,1.17E-17,30.39983199
VPS25,0.642687239,6.065963672,9.804021816,1.98E-18,1.19E-17,30.38257139
TFG,0.646528566,4.813860814,9.802731945,1.99E-18,1.20E-17,30.52701233
C5orf22,0.686909946,4.769430644,9.794450813,2.10E-18,1.26E-17,30.50712698
SDHAF3,0.91593911,5.141187515,9.793576539,2.11E-18,1.27E-17,30.326708
KLHL12,0.577911214,5.526668673,9.76764025,2.50E-18,1.49E-17,30.1446778
MRPS34,0.764860616,6.958112552,9.760630001,2.61E-18,1.55E-17,30.13887891
CCT4,0.693658571,7.039870418,9.751233182,2.78E-18,1.65E-17,30.0832854
POP7,0.830154087,6.305366521,9.736814366,3.05E-18,1.81E-17,29.95825624
PSMB5,0.767372692,7.741340246,9.707712358,3.67E-18,2.16E-17,29.84821983
COPB2,0.551444624,5.130463769,9.706892043,3.69E-18,2.17E-17,29.77409378
EFTUD2,0.610736172,5.189416263,9.701498763,3.82E-18,2.24E-17,29.73161542
SND1,0.529999729,6.91356192,9.679794831,4.39E-18,2.56E-17,29.62008123
ADSS2,0.575003032,5.769681755,9.656155864,5.11E-18,2.96E-17,29.43184998
NDUFAF8,0.786784644,5.007246465,9.652860503,5.22E-18,3.02E-17,29.46219785
PSMD12,0.545006808,5.479144392,9.645478237,5.48E-18,3.16E-17,29.36479928
COL5A2,1.931740079,5.63797457,9.635882815,5.82E-18,3.36E-17,29.30273673
POLD2,0.745254568,6.119581217,9.629289999,6.07E-18,3.50E-17,29.26772485
LAGE3,1.003958117,5.814786794,9.62082323,6.41E-18,3.69E-17,29.20710967
BZW1,0.756147281,5.809455342,9.60857571,6.94E-18,3.98E-17,29.12906634
DDX41,0.519960732,5.593380366,9.60557415,7.07E-18,4.06E-17,29.10999338
MRPS16,0.645961961,6.183602858,9.60259168,7.21E-18,4.12E-17,29.09922441
SPDEF,2.359534749,4.578987318,9.600944455,7.28E-18,4.16E-17,29.43536519
PNO1,0.701391365,4.933606473,9.597260034,7.46E-18,4.26E-17,29.14106255
RFC2,0.79852023,5.410022986,9.595142864,7.56E-18,4.31E-17,29.04470142
GLMP,0.77770174,5.323582206,9.590044111,7.81E-18,4.45E-17,29.01351436
YIPF1,0.605876359,5.928724121,9.589925437,7.81E-18,4.45E-17,29.01243647
FKBP4,1.015142868,5.502687664,9.585067404,8.06E-18,4.58E-17,28.98004439
VDAC1,0.663651249,7.367005888,9.575683817,8.56E-18,4.86E-17,28.9830902
LRRC42,0.722260899,5.493036482,9.561226831,9.39E-18,5.29E-17,28.82850943
NIF3L1,0.640579895,5.213534085,9.561036028,9.40E-18,5.29E-17,28.83444727
FH,0.586725252,6.437390099,9.553035885,9.89E-18,5.57E-17,28.79100606
APEX1,0.687700392,7.65234256,9.540948299,1.07E-17,5.99E-17,28.78063762
UGDH,1.400241697,6.19233107,9.529116869,1.15E-17,6.45E-17,28.63238503
YDJC,0.940270048,4.893642797,9.521422514,1.21E-17,6.76E-17,28.68108449
PABPC1,0.873732733,8.607493937,9.516492915,1.25E-17,6.96E-17,28.67662148
PDXDC1,0.698442147,5.557399662,9.501657971,1.37E-17,7.64E-17,28.44995315
NOC2L,0.702396548,5.436988488,9.493419009,1.45E-17,8.03E-17,28.39835849
ERAL1,0.559184572,5.891931054,9.465657299,1.73E-17,9.54E-17,28.22275604
DCAF12,0.699678253,5.987428486,9.454037359,1.86E-17,1.02E-16,28.1513693
SLC35A2,0.834718333,5.429177584,9.441713944,2.01E-17,1.11E-16,28.07085467
GOLGA5,0.519600122,6.054290298,9.432447375,2.14E-17,1.17E-16,28.01639175
DDX39A,0.819599353,5.308931309,9.418901237,2.33E-17,1.27E-16,27.92834359
CYBC1,0.593139617,5.179511422,9.415037127,2.39E-17,1.30E-16,27.91239096
TOR3A,0.624913654,5.937281669,9.410394574,2.46E-17,1.34E-16,27.87401139
KPNB1,0.709238958,6.10261782,9.40805757,2.49E-17,1.36E-16,27.86333814
CXCL13,2.86716733,4.484609411,9.396784684,2.68E-17,1.45E-16,28.22492648
CP,2.74811308,5.419007859,9.390640074,2.79E-17,1.51E-16,27.74795618
DSN1,0.855004242,4.547662571,9.390412978,2.79E-17,1.51E-16,28.12962865
IMP4,0.5826738,5.567890915,9.3887035,2.82E-17,1.52E-16,27.73487129
NMRAL1,0.64596721,5.200927947,9.386990995,2.85E-17,1.54E-16,27.73283135
NAT10,0.574865997,5.117778266,9.385036784,2.89E-17,1.55E-16,27.73191495
MED8,0.486352275,5.3372849,9.381224054,2.96E-17,1.59E-16,27.6894684
COIL,0.547486379,4.693537867,9.372972904,3.12E-17,1.67E-16,27.89082544
BAK1,0.734217954,5.169347836,9.371535627,3.15E-17,1.69E-16,27.63878089
ABHD11,1.047162682,5.41259749,9.354322565,3.51E-17,1.88E-16,27.51870873
ADAM8,1.531381797,4.57681412,9.353874425,3.52E-17,1.88E-16,27.87337448
ZDHHC9,1.082373785,6.416254595,9.350406033,3.60E-17,1.92E-16,27.50737894
RCC2,0.866480961,6.430946834,9.340531173,3.83E-17,2.04E-16,27.44558825
PDCL3,0.567693326,5.539545479,9.337583005,3.90E-17,2.08E-16,27.4123878
NDUFS6,0.788289226,7.43681322,9.332261939,4.04E-17,2.14E-16,27.44635809
EPHX3,1.647925712,4.02056103,9.327934784,4.15E-17,2.20E-16,28.11619829
RSL1D1,0.551555028,6.389043647,9.318682243,4.40E-17,2.32E-16,27.30648903
ATP5PD,0.586649905,6.208446001,9.31648512,4.46E-17,2.35E-16,27.28788319
MAGED1,0.809243897,6.795915155,9.316335902,4.47E-17,2.35E-16,27.3092162
XPOT,0.824038825,5.341512913,9.311699749,4.60E-17,2.42E-16,27.25084491
ABCE1,0.620721194,4.940853667,9.295716665,5.09E-17,2.68E-16,27.22885463
HNRNPCP2,0.68115944,5.142264157,9.290775512,5.25E-17,2.76E-16,27.13352034
MRPL44,0.509135516,5.624803969,9.287916587,5.35E-17,2.81E-16,27.09896039
MEA1,0.581922875,5.56507819,9.286829652,5.38E-17,2.82E-16,27.09250522
PSMB3,0.805504696,8.165216724,9.272977748,5.88E-17,3.08E-16,27.11688012
HDAC1,0.66369192,6.506419637,9.271734781,5.92E-17,3.10E-16,27.01508598
RACGAP1,1.258599361,4.334919136,9.260947196,6.34E-17,3.32E-16,27.49254943
TIMM10,0.73333454,6.295004852,9.255070727,6.58E-17,3.44E-16,26.90347937
NPM1,0.709611977,7.356853543,9.254461481,6.61E-17,3.45E-16,26.9516306
ZNF146,0.790430282,6.025022747,9.246012857,6.97E-17,3.63E-16,26.84001767
MRPL21,0.689031549,4.970808164,9.236822543,7.39E-17,3.84E-16,26.84418807
WDR45B,0.660609166,6.760638574,9.231818907,7.63E-17,3.96E-16,26.77578847
SRD5A3,1.292043232,4.193447359,9.229354039,7.75E-17,4.01E-16,27.39565833
USB1,0.609418591,4.645913665,9.213977527,8.54E-17,4.42E-16,26.93217054
FUNDC1,0.658248572,5.185592759,9.191080621,9.87E-17,5.09E-16,26.50137221
DHTKD1,0.803670734,4.605619599,9.17794832,1.07E-16,5.51E-16,26.74244703
SIGMAR1,0.641205265,6.220033925,9.164293134,1.17E-16,5.98E-16,26.33200263
PRELID3B,0.788419101,6.693611594,9.142402614,1.34E-16,6.85E-16,26.21189277
TIPRL,0.585968666,5.788545393,9.140612199,1.36E-16,6.92E-16,26.17437708
PODXL2,2.250640321,4.79199521,9.136548379,1.39E-16,7.09E-16,26.32514863
SDAD1,0.495873405,5.401308431,9.13030584,1.45E-16,7.37E-16,26.11130499
H1-0,0.94781595,8.309764317,9.126826177,1.48E-16,7.53E-16,26.20752357
CERCAM,1.248471915,4.460034073,9.116093044,1.58E-16,8.04E-16,26.48438239
C15orf48,2.296715814,4.089553254,9.108362093,1.66E-16,8.42E-16,26.7055828
RRM1,0.708517426,5.343485658,9.108340921,1.66E-16,8.42E-16,25.97468421
NONO,0.589162731,6.545385973,9.101902603,1.73E-16,8.76E-16,25.9519195
PSME3,0.540424516,6.204141251,9.076224168,2.03E-16,1.02E-15,25.78092027
PIAS3,0.758078612,4.769217255,9.070075509,2.11E-16,1.06E-15,25.92749274
NOL6,0.599105008,5.133165889,9.058639674,2.27E-16,1.14E-15,25.68030074
RNPS1,0.475624233,5.519438933,9.036093726,2.62E-16,1.31E-15,25.52232541
PFDN4,0.881125453,5.111294493,9.032841465,2.67E-16,1.33E-15,25.52332411
KDELR1,0.549609054,8.220918657,9.031888373,2.69E-16,1.34E-15,25.610597
RUVBL1,0.762395807,4.571074207,9.00892831,3.10E-16,1.54E-15,25.71884015
SEC61G,0.927128419,6.601355073,9.003387176,3.21E-16,1.60E-15,25.34000073
DSG2,1.33487929,6.225771296,8.998094787,3.32E-16,1.65E-15,25.29451543
FAM241B,0.89966775,4.553135139,8.997987915,3.32E-16,1.65E-15,25.66692608
SNRPD1,0.717808216,4.785588426,8.997409537,3.34E-16,1.65E-15,25.46220252
HSP90AB1,0.656103459,10.34257453,8.982637964,3.66E-16,1.80E-15,25.41303099
BRCC3,0.600854207,4.792835501,8.981774769,3.68E-16,1.81E-15,25.35948254
MGME1,0.739752764,4.69830559,8.956724289,4.30E-16,2.11E-15,25.2812523
KDF1,0.686801056,5.024626,8.955152146,4.35E-16,2.13E-15,25.06373526
RPL39L,1.876934641,4.659288862,8.954424773,4.37E-16,2.13E-15,25.3010267
TSKU,1.363588754,5.173334207,8.950440244,4.48E-16,2.19E-15,25.00110468
MRPS23,0.746843205,4.831901165,8.949866309,4.49E-16,2.19E-15,25.13263558
WDR43,0.748227853,5.28826749,8.949668756,4.50E-16,2.19E-15,24.98773393
UBQLN4,0.696768677,5.604138466,8.949629547,4.50E-16,2.19E-15,24.98393274
NFYA,0.740709073,4.986804702,8.942156865,4.71E-16,2.29E-15,24.99713225
NSMF,0.839727447,4.668048613,8.931647598,5.03E-16,2.44E-15,25.15201748
TMEM106B,0.804137537,4.603356935,8.924018723,5.28E-16,2.56E-15,25.16268562
GOT1,0.813371237,5.937671362,8.920967367,5.38E-16,2.60E-15,24.80838236
MRPS12,0.887642549,5.627857062,8.912690162,5.67E-16,2.74E-15,24.75459264
PRKDC,1.024945013,5.289857298,8.89392719,6.37E-16,3.06E-15,24.64196186
PTGFRN,1.100596615,5.203707112,8.887013299,6.65E-16,3.19E-15,24.60444297
HDHD3,0.844853787,5.036222285,8.885042674,6.74E-16,3.23E-15,24.62514118
NOMO1,0.685713641,4.852121535,8.880842309,6.91E-16,3.31E-15,24.69081294
STYXL1,0.797324642,5.681511053,8.874672974,7.19E-16,3.44E-15,24.51885217
CHPF,1.035189015,6.710787909,8.858887654,7.93E-16,3.79E-15,24.44863568
YARS1,0.526594254,5.159049987,8.855955525,8.07E-16,3.86E-15,24.4174812
UTP4,0.573691433,4.582721705,8.831610548,9.40E-16,4.48E-15,24.60994078
KRT8,1.154553365,8.444995709,8.831036722,9.43E-16,4.50E-15,24.37570745
RAB34,0.745140881,6.332423376,8.82926039,9.53E-16,4.54E-15,24.25049285
TMEM216,0.556968532,4.791313931,8.82301261,9.91E-16,4.72E-15,24.37723441
KARS1,0.495710096,6.748721606,8.819842914,1.01E-15,4.80E-15,24.20924526
LSM2,0.813450961,6.701900449,8.816327687,1.03E-15,4.89E-15,24.18522274
MCM7,1.080038203,6.061744798,8.815610826,1.04E-15,4.91E-15,24.15957636
SURF4,0.519659267,8.217438983,8.815196957,1.04E-15,4.92E-15,24.26676608
UNG,0.830574911,5.511604132,8.814719407,1.04E-15,4.93E-15,24.14921058
ICA1,0.854422283,4.493265442,8.803167393,1.12E-15,5.28E-15,24.51474818
SKIV2L,0.587524209,5.024570237,8.795728918,1.17E-15,5.51E-15,24.07708824
INTS13,0.851838052,4.591552947,8.794042469,1.19E-15,5.57E-15,24.37028486
ZNF207,0.391168257,4.76173979,8.79152614,1.21E-15,5.65E-15,24.2061097
SNRPG,0.86931767,6.134277929,8.786774267,1.24E-15,5.81E-15,23.98346442
CBX1,0.787844535,6.185966195,8.764380341,1.43E-15,6.65E-15,23.84667876
LARGE2,1.687743827,4.174272504,8.743975837,1.62E-15,7.53E-15,24.40063459
MRPL10,0.527672706,5.75955085,8.7409515,1.65E-15,7.66E-15,23.69367679
SEC24A,0.669929024,4.547597381,8.740052818,1.66E-15,7.69E-15,24.07784039
PSMD3,0.623219403,6.507340087,8.734030263,1.72E-15,7.97E-15,23.66942894
POLR3K,0.69244836,4.854391452,8.732693208,1.74E-15,8.02E-15,23.77536289
GTF3C2,0.528735883,4.83733721,8.724908003,1.82E-15,8.41E-15,23.7392203
H2AZ1,0.776555212,7.180654481,8.719811345,1.88E-15,8.67E-15,23.61679094
EEF1AKNMT,0.514570457,5.267373303,8.716253211,1.92E-15,8.85E-15,23.5466245
RANBP1,0.801690552,5.161179996,8.70131731,2.11E-15,9.67E-15,23.4641794
EXOSC4,0.902026459,4.948533126,8.697625622,2.16E-15,9.88E-15,23.50518974
PLAU,1.972180362,6.005116896,8.697238811,2.16E-15,9.90E-15,23.42935209
DNTTIP1,1.192482399,6.24037092,8.695894297,2.18E-15,9.97E-15,23.42681953
CHMP4C,0.806924178,4.907525486,8.690316305,2.26E-15,1.03E-14,23.48218838
ITM2C,1.129358269,7.099786207,8.682042047,2.38E-15,1.08E-14,23.38016889
NELFCD,0.653890551,5.269744437,8.67020789,2.56E-15,1.16E-14,23.26384742
KRT18,1.010271851,8.775627882,8.660515323,2.72E-15,1.23E-14,23.34303527
FAM83H,0.900927827,5.625013496,8.65434162,2.82E-15,1.28E-14,23.16210105
ALYREF,0.834608453,6.717994104,8.640620831,3.07E-15,1.39E-14,23.1056747
TMEM106C,0.964384631,5.894281174,8.638240429,3.12E-15,1.41E-14,23.06496836
TMCO1,0.692352601,6.143807869,8.622638239,3.43E-15,1.55E-14,22.97556027
METTL7B,1.724565625,4.047395178,8.616760063,3.56E-15,1.60E-14,23.70312812
IGHG1,2.792991527,10.75054371,8.612307,3.66E-15,1.64E-14,23.14880841
CDH1,0.938276923,7.423757572,8.610819474,3.69E-15,1.66E-14,22.96356041
FAM189B,0.673939275,4.606613242,8.595855795,4.05E-15,1.81E-14,23.14108575
COL5A1,1.738817492,5.608085136,8.591203668,4.16E-15,1.86E-14,22.77589427
ATP2A2,0.687254771,6.398207617,8.586959671,4.27E-15,1.91E-14,22.76406198
SMS,0.745019463,6.842977314,8.58583931,4.30E-15,1.92E-14,22.77706183
PGK1,0.805672211,8.353843271,8.580206978,4.46E-15,1.99E-14,22.83105134
CAPRIN1,0.448448504,6.493420415,8.565089186,4.89E-15,2.18E-14,22.63393562
RCC1L,0.498067194,5.379889817,8.55840587,5.10E-15,2.27E-14,22.57717521
AUP1,0.555752022,7.487285615,8.551534003,5.32E-15,2.37E-14,22.60569025
GALNT2,0.698661902,5.296916293,8.539502427,5.72E-15,2.55E-14,22.46371532
PSMD7,0.519209502,5.113434245,8.533117112,5.95E-15,2.64E-14,22.44304289
TPMT,0.54764949,5.299097409,8.531524386,6.01E-15,2.67E-14,22.41503224
ARHGEF19,1.078153369,4.205210885,8.521018286,6.41E-15,2.84E-14,23.01916602
SRP68,0.414878549,5.651574377,8.5131729,6.73E-15,2.97E-14,22.29983672
SCAMP3,0.559028385,6.775841257,8.501214003,7.24E-15,3.18E-14,22.25780386
NHP2,0.713982947,5.635765999,8.496929058,7.43E-15,3.26E-14,22.20109899
TMEM147,0.680962435,6.540675372,8.491455738,7.69E-15,3.36E-14,22.18740163
ZDHHC18,0.60779841,4.844390793,8.484302906,8.03E-15,3.50E-14,22.26395406
DPAGT1,0.566834196,4.846158323,8.480511336,8.22E-15,3.58E-14,22.23970036
CHST15,0.876159044,5.00622007,8.47959008,8.27E-15,3.60E-14,22.14812377
SHC1,0.733543044,6.316827517,8.468534181,8.85E-15,3.84E-14,22.04042057
TMEM33,0.481226801,5.138709506,8.465187938,9.03E-15,3.91E-14,22.02559159
ANP32E,0.983681669,6.382174011,8.463341765,9.13E-15,3.96E-14,22.01079296
TMEM263,0.694185338,5.493164105,8.463029253,9.15E-15,3.96E-14,21.99597477
LYPLA1,0.954080629,5.945802868,8.443838547,1.03E-14,4.45E-14,21.88139957
TIMM9,0.638362206,5.147999185,8.442939114,1.03E-14,4.47E-14,21.88913647
NDUFS2,0.520120935,5.150775245,8.435750086,1.08E-14,4.67E-14,21.84513336
IGFBP3,1.839601094,6.74549944,8.431069169,1.11E-14,4.80E-14,21.83039501
LRPPRC,0.630469157,5.541153802,8.421285795,1.18E-14,5.08E-14,21.74257778
CLDN4,1.025829164,7.776302008,8.417483807,1.21E-14,5.19E-14,21.81002881
P4HA1,0.838380971,6.563727517,8.414008535,1.24E-14,5.30E-14,21.71848316
PDIA3,0.703904268,8.550196418,8.407825433,1.28E-14,5.49E-14,21.792821
CSE1L,0.746516539,6.237035681,8.406442392,1.29E-14,5.53E-14,21.66195794
UBE2K,0.464288479,5.918923421,8.399036906,1.35E-14,5.78E-14,21.6093614
SMPDL3B,1.362223169,4.768469719,8.388938154,1.44E-14,6.14E-14,21.74273059
PPP4C,0.60841745,6.880693265,8.386246974,1.46E-14,6.23E-14,21.56611413
ELOC,0.681792846,5.018212624,8.385171223,1.47E-14,6.27E-14,21.57162663
SF3B4,0.609618144,7.408536693,8.38261357,1.50E-14,6.36E-14,21.57510421
PPIB,0.716047254,7.656226867,8.382530331,1.50E-14,6.36E-14,21.5907892
TCF3,0.750965079,5.052270976,8.37340039,1.58E-14,6.71E-14,21.48938343
PRCC,0.513835222,5.656563283,8.362242967,1.69E-14,7.17E-14,21.38474797
ABRACL,0.76016868,6.441686008,8.352025874,1.80E-14,7.62E-14,21.33893362
HSPA9,0.535597999,6.234712849,8.347571854,1.85E-14,7.81E-14,21.30609489
IGKV3-15,2.396270602,7.561686327,8.346361474,1.87E-14,7.86E-14,21.36612982
ERGIC2,0.625284252,4.702016324,8.336287386,1.98E-14,8.34E-14,21.48092774
UAP1,0.732854418,5.979563077,8.313263971,2.28E-14,9.58E-14,21.09298896
UQCRH,0.79150101,7.655259271,8.30885007,2.34E-14,9.83E-14,21.14620768
MRPL52,0.678995973,5.096974011,8.308054101,2.36E-14,9.87E-14,21.08335538
ARMC1,0.632950951,5.416612474,8.258749966,3.18E-14,1.33E-13,20.76284696
CDK4,0.911640269,5.73858717,8.253600551,3.28E-14,1.37E-13,20.73037555
TMEM14A,0.756664308,6.26917027,8.248374676,3.38E-14,1.41E-13,20.70989716
GPATCH4,0.730428782,4.616957209,8.245758058,3.44E-14,1.43E-13,21.01299294
PRRC1,0.464026098,4.985267355,8.235884683,3.65E-14,1.51E-13,20.68525972
TCEA1,0.598693206,5.854164527,8.235142609,3.67E-14,1.52E-13,20.62067389
ANAPC11,0.800356501,5.692726326,8.230467427,3.77E-14,1.56E-13,20.59156422
MRPL13,0.835136244,4.657694451,8.200224291,4.53E-14,1.87E-13,20.70312835
SDF2L1,0.860072413,6.151666668,8.194369173,4.69E-14,1.93E-13,20.38339186
YTHDF1,0.44021594,6.185382595,8.181376266,5.07E-14,2.08E-13,20.30644999
CYC1,0.870640487,7.206039451,8.163934726,5.64E-14,2.31E-13,20.2483471
MORF4L2,0.554633349,7.914319489,8.155662514,5.93E-14,2.43E-13,20.24396084
STX6,0.485673268,4.840763809,8.153996375,5.99E-14,2.45E-13,20.27691417
GOT2,0.55266452,6.149751807,8.149636047,6.15E-14,2.51E-13,20.11595309
C2CD4D-AS1,1.33660272,4.195094003,8.147988306,6.21E-14,2.54E-13,20.78413448
BNIP3,0.962706269,5.267651039,8.139045425,6.55E-14,2.67E-13,20.04959055
MRPS7,0.535181626,5.780586966,8.138305369,6.58E-14,2.68E-13,20.04045804
ENAH,0.733522481,5.02742312,8.136275195,6.66E-14,2.71E-13,20.07359963
RPUSD1,0.751893624,4.523898035,8.128017512,7.00E-14,2.85E-13,20.39482898
TMED4,0.503089677,6.851936013,8.119684659,7.36E-14,2.99E-13,19.96423238
PLOD1,0.740769648,6.502905198,8.119041076,7.39E-14,3.00E-13,19.94374549
UGGT1,0.66364863,5.030533878,8.108049797,7.89E-14,3.20E-13,19.90431777
IGKJ4,2.365577071,3.935437455,8.098328483,8.37E-14,3.39E-13,20.65243545
KDM1A,0.606280381,5.578646519,8.083591979,9.14E-14,3.70E-13,19.71493223
TSEN54,0.57616896,4.943638455,8.082507194,9.20E-14,3.72E-13,19.78882909
CEACAM1,1.400467248,4.047531277,8.080832086,9.30E-14,3.75E-13,20.48356113
COPS6,0.576774738,6.679575127,8.078755079,9.41E-14,3.80E-13,19.7117903
ARMC10,0.529619322,4.639209365,8.064109974,1.03E-13,4.14E-13,19.90875315
MMP9,1.999535644,5.11880392,8.05335582,1.10E-13,4.41E-13,19.55567231
ARL6IP1,0.592554483,7.34195532,8.051243297,1.11E-13,4.46E-13,19.58554979
GMPS,0.629573075,4.647500814,8.050862282,1.11E-13,4.47E-13,19.82256201
RTRAF,0.505231485,5.268658294,8.043677604,1.16E-13,4.65E-13,19.48206973
HAX1,0.667994017,7.056580804,8.041633213,1.18E-13,4.71E-13,19.51146664
MEN1,0.563647537,4.678821682,8.039098198,1.19E-13,4.78E-13,19.72457981
LYPLA2,0.659663705,6.832773887,8.033913853,1.23E-13,4.92E-13,19.45329832
SDHC,0.576288628,6.757342023,8.031619251,1.25E-13,4.98E-13,19.43577531
PSMD2,0.625390165,7.181168688,8.027292658,1.28E-13,5.11E-13,19.43368451
CLPTM1L,0.740978761,6.738527501,8.014729246,1.38E-13,5.51E-13,19.33472139
SRP54,0.653673272,4.885797311,8.014386634,1.38E-13,5.51E-13,19.41690518
