probe	avg_expr_SC	avg_expr_SNC	avg_expr_NS	fdr_SC_NS	ttest_SC_NS	fdr_SNC_NS	ttest_SNC_NS	gene
213169_at	7.01	6.62	7.6	0.023	0	0.024	0	SEMA5A
203683_s_at	5.16	4.97	6.34	0.021	0	0.043	0.001	VEGFB
212859_x_at	9.99	10.09	10.98	0.047	0.002	0.043	0.001	MT1E
221708_s_at	6.91	6.53	7.09	0.042	0.001	0.32	0.086	UNC45A
204017_at	7.34	7.29	6.31	0.052	0.002	0.047	0.002	KDELR3
204508_s_at	4.21	4.34	2.18	0.029	0.001	0.042	0.001	CA12
213347_x_at	11.94	11.74	12.46	0.017	0	0.067	0.003	RPS4X
220800_s_at	3.53	3.45	1.97	0.103	0.008	0.094	0.007	TMOD3
200687_s_at	6.88	6.95	7.41	0.005	0	0.081	0.005	SF3B3
204718_at	5.51	5.6	6.53	0.081	0.005	0.06	0.003	EPHB6
200623_s_at	7.49	7.77	8.48	0.095	0.007	0.046	0.001	CALM3
214164_x_at	7.87	7.38	5.89	0.041	0.001	0.017	0	CA12
212969_x_at	6.82	6.66	7.52	0.011	0	0.032	0.001	EML3
202272_s_at	6.2	6.4	6.04	0.036	0.001	0.481	0.199	FBXO28
218208_at	8.44	7.78	8.35	0.069	0.004	0.829	0.656	PQLC1
204216_s_at	5.9	6.21	6.74	0.282	0.061	0.081	0.005	ZC3H14
200747_s_at	7.43	7.53	8.52	0.008	0	0.014	0	NUMA1
216347_s_at	6.32	6.49	6.84	0.245	0.046	0.08	0.005	PPP1R13B
200931_s_at	7.82	8.03	7.44	0.103	0.008	0.306	0.077	VCL
221216_s_at	6.7	6.72	7.43	0.094	0.007	0.079	0.005	SCMH1
205844_at	3.92	5.04	5.19	0.754	0.527	0.059	0.003	VNN1
202059_s_at	7.3	7.18	6.92	0.279	0.06	0.078	0.005	KPNA1
218379_at	6.68	6.55	6.15	0.374	0.115	0.097	0.008	RBM7
206042_x_at	6.86	7.08	7.62	0.132	0.013	0.067	0.003	SNRPN|SNURF
219597_s_at	8.69	8.65	9.1	0.063	0.003	0.124	0.013	DUOX1
213441_x_at	8.62	9.19	8.22	0.026	0.001	0.338	0.096	SPDEF
202856_s_at	7.69	7.46	7.14	0.296	0.068	0.088	0.006	SLC16A3
200990_at	8.21	8.28	8.61	0.052	0.002	0.379	0.121	TRIM28
200763_s_at	12.38	12.28	13.06	0.084	0.005	0.123	0.013	RPLP1
209379_s_at	6.52	6.06	5.66	0.407	0.137	0.075	0.004	KIAA1128
205073_at	6.63	7.06	7.73	0.159	0.019	0.083	0.005	CYP2J2
216996_s_at	6.91	6.88	6.32	0.103	0.008	0.087	0.006	FASTKD2
50376_at	8.03	7.82	8.3	0.071	0.004	0.396	0.132	ZNF444
200926_at	12	12.12	12.89	0.078	0.005	0.055	0.002	RPS23
222125_s_at	9.53	9.55	9.9	0.04	0.001	0.14	0.016	PH-4
37424_at	7.02	6.84	7.59	0.101	0.008	0.214	0.038	CCHCR1
212904_at	7.92	7.92	8.32	0.062	0.003	0.204	0.034	LRRC47
205530_at	4.97	5.16	5.55	0.224	0.039	0.104	0.009	ETFDH
203733_at	6.64	6.44	7.25	0.018	0	0.136	0.015	DEXI
204131_s_at	8.21	8.23	8.83	0.021	0	0.026	0	FOXO3
211797_s_at	3.47	4.26	4.84	0.441	0.163	0.091	0.007	NFYC
221738_at	6.1	6.06	5.54	0.058	0.003	0.096	0.008	KIAA1219
204892_x_at	12.8	13.19	14.36	0.165	0.02	0.074	0.004	EEF1A1
200963_x_at	12.01	12.04	12.58	0.066	0.003	0.045	0.001	RPL31
217871_s_at	9.83	9.55	9.25	0.359	0.104	0.076	0.004	MIF
218244_at	5.25	5.29	5.92	0.09	0.006	0.194	0.031	NOL8
213951_s_at	4.15	4.24	5.06	0.109	0.009	0.074	0.004	PSMC3IP
200022_at	11.23	11.21	11.86	0.014	0	0.032	0.001	RPL18
202216_x_at	6.29	6.6	7	0.314	0.078	0.083	0.005	NFYC
218380_at	8.18	8.22	8.59	0.078	0.005	0.216	0.039	NLRP1
213601_at	7.28	7.04	7.8	0.004	0	0.04	0.001	SLIT1
205482_x_at	5.83	5.95	6.6	0.159	0.019	0.068	0.003	SNX15
212871_at	4.81	5.34	5.76	0.147	0.016	0.046	0.001	MAPKAPK5
212039_x_at	12.81	12.6	13.17	0.09	0.006	0.294	0.071	RPL3
40225_at	9.25	9.04	8.69	0.243	0.045	0.089	0.006	GAK
204179_at	8.87	8.55	9.26	0.061	0.003	0.326	0.088	MB
213084_x_at	12.97	12.98	13.55	0.112	0.009	0.1	0.008	RPL23A
211911_x_at	11.21	11.7	12.31	0.173	0.022	0.014	0	HLA-B
218025_s_at	6.36	5.84	7	0.002	0	0.047	0.001	PECI
220403_s_at	4.34	3.88	4.93	0.081	0.005	0.343	0.099	P53AIP1
200956_s_at	6.16	6.28	7.05	0.174	0.023	0.084	0.006	SSRP1
200935_at	4.89	5.68	6.08	0.491	0.206	0.07	0.004	CALR
221731_x_at	6.93	6.71	6.03	0.102	0.008	0.038	0.001	VCAN
219094_at	3.42	3.45	4.69	0.044	0.002	0.076	0.004	ARMC8
217165_x_at	8.1	8.03	8.84	0.029	0.001	0.166	0.022	MT1F
40837_at	7.24	7.28	8	0.017	0	0.017	0	TLE2
201837_s_at	6.26	6.6	6.79	0.485	0.202	0.082	0.005	SUPT7L
202840_at	6.26	6.73	7.31	0.316	0.079	0.085	0.006	TAF15
202299_s_at	8.6	8.78	8.99	0.382	0.119	0.097	0.008	HBXIP
216071_x_at	6.29	6.4	7.05	0.036	0.001	0.123	0.012	MED12
212693_at	6.45	6.56	6.94	0.106	0.008	0.099	0.008	MDN1
217994_x_at	8.07	7.93	8.4	0.099	0.007	0.256	0.054	CPSF3L
201970_s_at	5.67	5.95	7	0.036	0.001	0.051	0.002	NASP
216032_s_at	9.72	9.75	10.33	0.056	0.002	0.085	0.006	ERGIC3
219401_at	5.75	5.36	6.24	0.086	0.006	0.308	0.078	XYLT2
46323_at	8.08	7.75	7.34	0.24	0.044	0.047	0.001	CANT1
217769_s_at	9.94	9.8	9.34	0.178	0.024	0.083	0.005	POMP
204524_at	5.34	5.85	6.63	0.161	0.019	0.041	0.001	PDPK1
216231_s_at	11.79	12.23	12.7	0.388	0.124	0.027	0	B2M
218885_s_at	7.28	7.76	6.85	0.055	0.002	0.545	0.264	GALNT12
203710_at	5.15	5.73	5.99	0.531	0.244	0.085	0.006	ITPR1
213505_s_at	5.86	5.86	7.23	0.002	0	0.009	0	SFRS14
200937_s_at	9.78	9.94	10.79	0.025	0	0.037	0.001	RPL5
218839_at	7.58	7.4	8.14	0.023	0	0.22	0.041	HEY1
204731_at	5.23	5.36	5.94	0.09	0.006	0.043	0.001	TGFBR3
218751_s_at	5.45	5.52	6.27	0.119	0.01	0.085	0.006	FBXW7
200730_s_at	5.66	5.91	4.71	0.08	0.005	0.166	0.022	PTP4A1
202725_at	8.01	7.9	8.35	0.061	0.003	0.194	0.032	POLR2A
208619_at	9.33	9.04	8.85	0.363	0.107	0.035	0.001	DDB1
219872_at	1.54	2.01	3.64	0.19	0.027	0.094	0.007	C4orf18
209117_at	8.06	7.98	8.55	0.048	0.002	0.112	0.01	WBP2
213932_x_at	12.3	12.47	12.93	0.124	0.011	0.06	0.003	HLA-A
208921_s_at	10.14	10.08	10.58	0.017	0	0.122	0.012	SRI
220344_at	7.85	7.72	8.36	0.034	0.001	0.176	0.025	C11orf16
209784_s_at	7.13	7.02	8.19	0	0	0.002	0	JAG2
212399_s_at	8.16	7.89	8.32	0.051	0.002	0.532	0.25	VGLL4
213179_at	7.44	7.49	7.76	0.125	0.012	0.065	0.003	RQCD1
203826_s_at	7.58	7.38	7.79	0.087	0.006	0.462	0.184	PITPNM1
217992_s_at	7.63	7.94	7.39	0.018	0	0.389	0.128	EFHD2
201459_at	9.63	9.54	10.09	0.003	0	0.09	0.006	RUVBL2
212017_at	7.38	7.66	8.04	0.177	0.024	0.094	0.007	FAM168B
210345_s_at	8.11	8.15	8.67	0.09	0.006	0.09	0.006	DNAH9
204064_at	6.62	6.68	7.16	0.064	0.003	0.06	0.003	THOC1
210527_x_at	6.68	6.93	7.49	0.145	0.016	0.047	0.002	TUBA3C
201049_s_at	12.53	12.52	13.26	0.088	0.006	0.083	0.006	RPS18|RP5-1033B10.18
209160_at	9.38	9.5	8.44	0.02	0	0.072	0.004	AKR1C3
211729_x_at	8.74	8.49	8.3	0.394	0.127	0.061	0.003	BLVRA
221746_at	6.5	6.42	7.16	0.028	0.001	0.059	0.003	UBL4A
212523_s_at	4.18	4.81	5.44	0.2	0.03	0.047	0.002	KIAA0146
209447_at	6.24	6.53	7.8	0.009	0	0.024	0	SYNE1
212179_at	6.35	6.41	7.05	0.017	0	0.026	0	SFRS18
200878_at	9.87	9.97	11.16	0.005	0	0.009	0	EPAS1
209061_at	5.84	6.39	7.03	0.165	0.02	0.029	0	NCOA3
208792_s_at	9.2	9.41	10.06	0.199	0.03	0.096	0.007	CLU
216323_x_at	6.55	6.82	7.39	0.238	0.043	0.081	0.005	TUBA3D
213477_x_at	12.67	12.87	13.66	0.173	0.023	0.091	0.007	EEF1A1
214271_x_at	11.03	11.06	11.68	0.092	0.006	0.073	0.004	RPL12
208153_s_at	6.05	5.92	6.96	0.012	0	0.047	0.002	FAT2
219749_at	6.78	6.89	6.34	0	0	0.024	0	SH2D4A
213488_at	6.2	6.16	6.93	0.006	0	0.011	0	SNED1
201530_x_at	10.94	10.81	10.44	0.117	0.01	0.034	0.001	EIF4A1
209074_s_at	4.42	4.25	7.19	0.001	0	0.006	0	FAM107A
217904_s_at	5.09	5.19	5.95	0.036	0.001	0.018	0	BACE1
204262_s_at	5.78	5.68	6.15	0.042	0.001	0.157	0.02	PSEN2
213590_at	6.44	6.66	6.97	0.089	0.006	0.019	0	SLC16A5
215071_s_at	7.52	7.57	6.96	0.074	0.004	0.145	0.017	HIST1H2AC
201455_s_at	6.58	7.1	7.26	0.652	0.377	0.079	0.005	NPEPPS
201322_at	10.06	10.27	10.61	0.174	0.023	0.066	0.003	ATP5B
207064_s_at	5.43	5.18	5.71	0.103	0.008	0.576	0.298	AOC2
204620_s_at	6.62	6.6	6.06	0.104	0.008	0.166	0.022	VCAN
209702_at	7.84	7.93	8.8	0.129	0.012	0.1	0.008	FTO
209125_at	6.51	6.59	4.38	0.095	0.007	0.1	0.008	KRT6C|KRT6A
202624_s_at	6.81	7.11	7.85	0.041	0.001	0.013	0	CABIN1
204802_at	9.11	8.38	9.39	0.092	0.006	0.683	0.428	RRAD
203871_at	6.03	6.3	6.67	0.352	0.099	0.092	0.007	SENP3
209921_at	5.37	6.28	4.78	0.022	0	0.411	0.142	SLC7A11
200089_s_at	10.82	10.53	11.02	0.066	0.003	0.475	0.195	RPL4
201066_at	7.67	7.7	8.19	0.099	0.007	0.068	0.003	CYC1
214016_s_at	6.69	6.75	7.42	0.015	0	0.042	0.001	SFPQ
210006_at	7.14	7.07	7.34	0.096	0.007	0.231	0.044	ABHD14A
204379_s_at	8.54	8.25	9.34	0.006	0	0.04	0.001	FGFR3
211889_x_at	5.18	5.38	4.37	0.079	0.005	0.151	0.018	CEACAM1
203058_s_at	5.38	5.02	5.68	0.085	0.006	0.399	0.134	PAPSS2
221780_s_at	6.16	5.84	6.82	0.023	0	0.079	0.005	DDX27
33850_at	5.7	5.51	6.35	0.051	0.002	0.116	0.011	MAP4
201272_at	8.49	8.49	7.99	0.103	0.008	0.109	0.01	AKR1B1
212153_at	6.47	7.27	8.06	0.023	0	0.009	0	POGZ
208928_at	8.26	8.19	8.71	0.068	0.003	0.157	0.02	POR
220269_at	8.04	8.03	8.69	0.079	0.005	0.094	0.007	ZBBX
215735_s_at	5.8	6.01	7.01	0.022	0	0.045	0.001	TSC2
200959_at	7.67	7.69	8.2	0.081	0.005	0.068	0.003	FUS
204351_at	12.3	12.02	11.29	0.05	0.002	0.011	0	S100P
40016_g_at	8.3	8.19	8.73	0.056	0.002	0.152	0.019	MAST4
204480_s_at	8.84	8.58	8.29	0.349	0.098	0.076	0.004	C9orf16
47530_at	6.85	6.63	6.23	0.161	0.019	0.042	0.001	C9orf156
200715_x_at	11.34	11.12	11.59	0.018	0	0.273	0.061	RPL13A
221833_at	4.58	5.2	5.8	0.399	0.13	0.104	0.009	SIAH1
209950_s_at	8.23	7.96	8.59	0.051	0.002	0.346	0.101	VILL
203442_x_at	7.11	6.84	7.46	0.072	0.004	0.28	0.065	EML3
206561_s_at	7.25	7.73	4.52	0.011	0	0.031	0	AKR1B10
64440_at	7.64	7.6	7.2	0.078	0.005	0.072	0.004	IL17RC
218753_at	8.05	8.19	8.39	0.401	0.132	0.103	0.009	XKR8
200909_s_at	11.43	11.36	12.16	0.103	0.008	0.125	0.013	RPLP2
200783_s_at	5.62	5.39	6.22	0.08	0.005	0.215	0.039	STMN1
204404_at	7.44	7.53	7.07	0.07	0.004	0.182	0.027	SLC12A2
200064_at	10.82	11.03	11.82	0.049	0.002	0.038	0.001	HSP90AB1
203492_x_at	5.75	6.04	6.37	0.301	0.071	0.061	0.003	CEP57
211928_at	8.17	8.17	8.76	0.041	0.001	0.077	0.004	DYNC1H1
205109_s_at	6.52	6.33	7.14	0.031	0.001	0.081	0.005	ARHGEF4
209389_x_at	9.24	9.38	9.74	0.163	0.02	0.088	0.006	DBI
204041_at	5.88	5.73	7.44	0.021	0	0.047	0.001	MAOB
207159_x_at	5.49	5.61	6.43	0.117	0.01	0.078	0.005	CRTC1
216336_x_at	8.76	8.69	9.37	0.04	0.001	0.08	0.005	MT1M
211927_x_at	12.21	12.13	12.68	0.102	0.008	0.145	0.017	EEF1G|LOC729998
218763_at	7.52	7.9	7.58	0.052	0.002	0.865	0.719	STX18
201425_at	9.4	9.4	9.89	0.05	0.002	0.102	0.008	ALDH2
217807_s_at	11.71	11.27	12.12	0.077	0.004	0.438	0.164	GLTSCR2
203547_at	6.72	6.89	7.38	0.172	0.022	0.103	0.009	CD4
209875_s_at	5.54	5.83	4.75	0.027	0.001	0.215	0.039	SPP1
201204_s_at	9.38	8.83	8.68	0.665	0.395	0.037	0.001	RRBP1
209107_x_at	7.72	8.03	8.31	0.186	0.026	0.057	0.002	NCOA1
202251_at	5.42	5.6	6.55	0.017	0	0.025	0	PRPF3
203107_x_at	12.19	12.23	12.76	0.097	0.007	0.051	0.002	RPS2
202436_s_at	6.86	8.75	5.44	0	0	0.059	0.003	CYP1B1
204538_x_at	8.71	9.32	10.26	0.022	0	0.014	0	NPIP
210065_s_at	9.04	9.09	7.65	0.075	0.004	0.081	0.005	UPK1B
211026_s_at	9.11	9	9.53	0.05	0.002	0.114	0.01	MGLL
210501_x_at	9.97	9.82	10.22	0.036	0.001	0.26	0.055	EIF3K
214203_s_at	7.54	7.09	7.94	0.041	0.001	0.438	0.164	PRODH
201096_s_at	8.29	8.52	7.72	0.058	0.003	0.157	0.02	ARF4
209998_at	6.89	6.77	7.09	0.081	0.005	0.317	0.084	PIGO
211530_x_at	8.48	9.16	9.13	0.958	0.904	0.102	0.008	HLA-G
221952_x_at	9.58	9.68	10.04	0.055	0.002	0.091	0.007	TRMT5
51200_at	8.2	7.66	7.5	0.661	0.388	0.101	0.008	C19orf60
209514_s_at	7.22	7.34	6.7	0.054	0.002	0.085	0.006	RAB27A
212910_at	6.23	6.26	6.9	0.042	0.001	0.057	0.002	THAP11
210293_s_at	6.94	6.64	6.12	0.231	0.04	0.054	0.002	SEC23B
200000_s_at	8.38	8.54	9.09	0.017	0	0.026	0	PRPF8
203842_s_at	5.12	5.26	6.25	0.08	0.005	0.038	0.001	MAPRE3
203110_at	5.99	6.36	6.89	0.162	0.02	0.025	0	PTK2B
39249_at	8.96	9.54	10.04	0.4	0.131	0.087	0.006	AQP3
218149_s_at	7.67	7.51	8.34	0.013	0	0.039	0.001	ZNF395
216264_s_at	6.59	6.45	7.16	0.052	0.002	0.119	0.012	LAMB2
202917_s_at	9.02	8.67	7	0.025	0	0.026	0	S100A8
201395_at	7.9	7.99	8.7	0.02	0	0.057	0.002	RBM5
207856_s_at	6.38	6.5	7.04	0.119	0.01	0.04	0.001	FLJ41352|SMPD4
220661_s_at	6.77	6.81	7.39	0.128	0.012	0.096	0.007	ZNF692
214100_x_at	6.23	6.39	7.13	0.128	0.012	0.09	0.006	NSUN5B
204193_at	7.74	7.79	8.25	0.103	0.008	0.082	0.005	CHKB|CPT1B
214749_s_at	8.73	8.56	8.27	0.244	0.045	0.053	0.002	ARMCX6
212900_at	6.83	6.87	6.42	0.08	0.005	0.112	0.01	SEC24A
210396_s_at	6.94	6.43	5.52	0.27	0.056	0.09	0.006	BOLA2|LOC595101
213976_at	3.98	4.21	5.07	0.13	0.013	0.07	0.004	CIZ1
212363_x_at	11.89	12.12	12.49	0.334	0.088	0.096	0.008	ACTG1
200845_s_at	8.79	8.65	9.23	0.02	0	0.067	0.003	PRDX6
202757_at	7.67	7.22	7.64	0.011	0	0.939	0.857	COBRA1
218321_x_at	8.04	7.93	8.3	0.096	0.007	0.355	0.106	STYXL1
220125_at	8.61	8.66	9.26	0.018	0	0.047	0.001	DNAI1
214246_x_at	8.71	8.52	9.3	0.03	0.001	0.087	0.006	MINK1
218804_at	3.17	2.54	4.27	0.042	0.001	0.15	0.018	TMEM16A
41113_at	5.33	5.61	6.06	0.284	0.063	0.101	0.008	ZNF500
220744_s_at	7.5	7.44	8.2	0.042	0.001	0.218	0.04	IFT122
214620_x_at	6.59	6.23	5.7	0.2	0.03	0.037	0.001	PAM
212433_x_at	11.11	11.14	11.63	0.055	0.002	0.043	0.001	RPS2
211657_at	10.87	11.01	10.08	0.026	0.001	0.055	0.002	CEACAM6
212270_x_at	11.19	11.23	11.85	0.072	0.004	0.061	0.003	RPL17
209249_s_at	9.21	9.33	8.61	0.025	0	0.053	0.002	GHITM
206498_at	5.73	5.74	4.16	0.074	0.004	0.074	0.004	OCA2
203007_x_at	6.6	6.78	5.88	0.063	0.003	0.146	0.017	LYPLA1
215313_x_at	12.31	12.45	12.93	0.09	0.006	0.048	0.002	HLA-A
202726_at	6.46	6.17	6.89	0.031	0.001	0.074	0.004	LIG1
206094_x_at	7.78	8.08	7.68	0.1	0.007	0.822	0.643	UGT1A6
214280_x_at	8.08	8.11	8.44	0.398	0.129	0.036	0.001	HNRNPA1
220760_x_at	6.38	6.68	7.07	0.053	0.002	0.013	0	ZNF665
213713_s_at	8.69	8.6	9.22	0.098	0.007	0.154	0.019	GLB1L2
203754_s_at	5.38	5.51	6.48	0.092	0.007	0.053	0.002	BRF1
214790_at	3.23	3.4	4.24	0.047	0.002	0.023	0	SENP6
208700_s_at	7.76	8.16	7.53	0.074	0.004	0.504	0.223	TKT
211528_x_at	10.53	10.91	11.18	0.482	0.199	0.053	0.002	HLA-G
214433_s_at	9.57	9.57	10.18	0.026	0.001	0.031	0	SELENBP1
203249_at	5.74	5.21	6.74	0.004	0	0.047	0.001	EZH1
212299_at	6.84	6.81	7.47	0.028	0.001	0.029	0	NEK9
214220_s_at	7.05	6.5	6.54	0.901	0.785	0.07	0.004	ALMS1
219564_at	6.22	6.04	7.11	0.051	0.002	0.091	0.007	KCNJ16
210445_at	7.53	7.04	9.38	0.003	0	0.024	0	FABP6
205437_at	5.49	5.57	6.21	0.066	0.003	0.07	0.004	ZNF211
209147_s_at	5.5	5.54	6.19	0.036	0.001	0.064	0.003	PPAP2A
209971_x_at	8.31	8.12	7.89	0.365	0.108	0.094	0.007	JTV1
205596_s_at	6.7	6.58	6.16	0.127	0.012	0.056	0.002	SMURF2
53071_s_at	7.44	6.71	6.3	0.408	0.138	0.043	0.001	FLJ22222
206245_s_at	7.44	7.63	7.19	0.095	0.007	0.346	0.101	IVNS1ABP
210208_x_at	9.01	9.14	9.57	0.133	0.013	0.076	0.004	BAT3
203117_s_at	4.86	5.21	6.37	0.079	0.005	0.033	0.001	PAN2
203518_at	5.02	5.42	5.81	0.427	0.152	0.084	0.006	LYST
204441_s_at	5.59	5.11	6.62	0.003	0	0.039	0.001	POLA2
218248_at	7.82	7.82	8.24	0.04	0.001	0.068	0.003	FAM111A
202361_at	7.76	7.58	8.23	0.099	0.007	0.216	0.039	SEC24C
201891_s_at	12.05	12.08	12.52	0.157	0.019	0.055	0.002	B2M
213944_x_at	7.75	7.81	8.31	0.012	0	0.006	0	GNA11
212391_x_at	12.63	12.59	13.4	0.088	0.006	0.097	0.008	RPS3A
217226_s_at	7.05	7	7.66	0.005	0	0.053	0.002	SFXN3
209069_s_at	9.78	10.07	10.62	0.241	0.044	0.065	0.003	H3F3B
221494_x_at	10.05	9.72	10.17	0.025	0	0.591	0.314	EIF3K
219117_s_at	8.09	8.18	7.35	0.022	0	0.043	0.001	FKBP11
212273_x_at	10.56	11.05	11.62	0.201	0.031	0.039	0.001	GNAS
210150_s_at	7.26	7.23	8.15	0.024	0	0.032	0.001	LAMA5
202528_at	7.24	7.46	7.02	0.079	0.005	0.384	0.125	GALE
218284_at	7.66	7.68	8	0.104	0.008	0.091	0.007	SMAD3
206949_s_at	8.4	8.35	8.07	0.142	0.015	0.059	0.003	RUSC1
212848_s_at	7.02	7.17	7.56	0.213	0.035	0.102	0.008	C9orf3
212276_at	6.16	6.56	7.1	0.039	0.001	0.006	0	LPIN1
212448_at	5.61	6.06	6.62	0.232	0.041	0.062	0.003	NEDD4L
212120_at	7.6	7.43	6.88	0.212	0.035	0.103	0.009	RHOQ
214435_x_at	6.5	6.07	5.26	0.078	0.005	0.009	0	RALA
211959_at	8.21	8.18	9.12	0.04	0.001	0.121	0.012	IGFBP5
205130_at	8.27	8.19	8.76	0.005	0	0.024	0	RAGE
200986_at	6.18	6.61	6.94	0.48	0.197	0.071	0.004	SERPING1
221263_s_at	9.68	9.44	9.15	0.315	0.078	0.075	0.004	SF3B5
205489_at	9.02	8.96	9.47	0.025	0	0.045	0.001	CRYM
206274_s_at	7.28	7.14	8.42	0.005	0	0.027	0	CROCC
213229_at	7.92	7.73	7.07	0.162	0.02	0.059	0.003	DICER1
203221_at	6.9	6.86	6.44	0.071	0.004	0.081	0.005	TLE1
202949_s_at	7.09	7.28	6.56	0.047	0.002	0.207	0.036	FHL2
219212_at	5.34	6.08	6.36	0.432	0.155	0.081	0.005	HSPA14
213513_x_at	9.3	8.95	8.48	0.215	0.036	0.047	0.001	ARPC2
212745_s_at	4.99	5.58	5.93	0.485	0.202	0.075	0.004	BBS4
216836_s_at	8.69	8.8	9.19	0.136	0.014	0.065	0.003	ERBB2
211656_x_at	7.43	8.19	8.44	0.631	0.351	0.091	0.007	HLA-DQB1
202027_at	7.21	7.08	6.74	0.19	0.027	0.081	0.005	TMEM184B
218052_s_at	6.91	7.05	7.72	0.116	0.01	0.079	0.005	ATP13A1
210148_at	3.72	3.99	3.04	0.104	0.008	0.306	0.077	HIPK3
213940_s_at	5.26	5.35	5.99	0.119	0.01	0.071	0.004	FNBP1
39248_at	11.14	11.34	11.86	0.088	0.006	0.06	0.003	AQP3
218371_s_at	6	6.1	6.34	0.124	0.011	0.04	0.001	PSPC1
208863_s_at	6.01	6.77	6.94	0.728	0.485	0.094	0.007	SFRS1
218855_at	6.3	5.99	6.85	0.066	0.003	0.231	0.045	GPR175
213195_at	6.62	6.62	7.31	0.045	0.002	0.047	0.001	LOC201229
202836_s_at	8.95	8.67	8.51	0.527	0.239	0.087	0.006	TXNL4A
221041_s_at	7.07	6.96	5.67	0.091	0.006	0.074	0.004	SLC17A5
213125_at	4.73	5.04	5.74	0.183	0.025	0.063	0.003	OLFML2B
203925_at	7.16	7.74	6.7	0.044	0.002	0.427	0.155	GCLM
200976_s_at	9.81	10.16	10.51	0.103	0.008	0.024	0	TAX1BP1
219590_x_at	8.25	7.9	7.87	0.911	0.808	0.07	0.004	DPH5
212185_x_at	10.76	10.74	11.36	0.09	0.006	0.085	0.006	MT2A
202474_s_at	7.02	7.18	7.76	0.02	0	0.018	0	HCFC1
207583_at	4	3.95	4.93	0.047	0.002	0.041	0.001	ABCD2
200755_s_at	4.87	5.4	4.26	0.075	0.004	0.358	0.109	CALU
200981_x_at	10.61	11.09	11.67	0.222	0.038	0.044	0.001	GNAS
207547_s_at	6.04	5.87	7.22	0.001	0	0.003	0	FAM107A
212998_x_at	6.6	7.42	8.1	0.402	0.133	0.091	0.007	HLA-DQB1
200695_at	8.1	8.36	8.6	0.239	0.043	0.037	0.001	PPP2R1A
209897_s_at	6.46	5.75	6.85	0.008	0	0.33	0.091	SLIT2
202599_s_at	5.99	6.02	5.31	0.103	0.008	0.114	0.011	NRIP1
209207_s_at	6.91	6.89	6.13	0.057	0.002	0.039	0.001	SEC22B
213329_at	5.45	5.44	6.5	0.008	0	0.01	0	SRGAP2
215684_s_at	6.11	6.48	6.99	0.216	0.036	0.057	0.002	ASCC2
209206_at	6.64	6.55	5.86	0.142	0.015	0.1	0.008	SEC22B
203973_s_at	9.06	9.13	9.63	0.153	0.018	0.098	0.008	CEBPD
202437_s_at	5.33	7.41	3.31	0.014	0	0.183	0.027	CYP1B1
217841_s_at	7.03	7.1	7.67	0.084	0.005	0.078	0.005	PPME1
218255_s_at	6.51	6.53	7.11	0.053	0.002	0.041	0.001	FBRS
220761_s_at	4.77	5.31	5.66	0.378	0.117	0.082	0.005	TAOK3
204034_at	7.77	7.69	7.02	0.011	0	0.018	0	ETHE1
222231_s_at	8.17	8.37	7.85	0.038	0.001	0.271	0.06	LRRC59
201923_at	8.8	8.65	8.04	0.039	0.001	0.02	0	PRDX4
37201_at	5.65	5.61	6.31	0.098	0.007	0.104	0.009	ITIH4
209806_at	8.09	8.17	7.33	0.061	0.003	0.096	0.008	HIST1H2BK
219299_at	6.85	6.71	6.35	0.092	0.006	0.024	0	TRMT12
218444_at	4.27	4.35	5.46	0.064	0.003	0.055	0.002	ALG12
201214_s_at	8.18	8.06	8.56	0.072	0.004	0.201	0.033	PPP1R7
206815_at	5.62	5.36	6.46	0.074	0.004	0.116	0.011	SPAG8
214635_at	5.7	5.45	6.34	0.097	0.007	0.224	0.042	CLDN9
201697_s_at	6.25	6.41	7.2	0.052	0.002	0.096	0.008	DNMT1
44120_at	6.95	6.69	7.12	0.071	0.004	0.513	0.231	ADCK2
213839_at	6.79	7.19	7.36	0.491	0.207	0.081	0.005	KIAA0500
205363_at	5.02	5.71	6.03	0.295	0.068	0.071	0.004	BBOX1
220954_s_at	5.47	5.77	6.68	0.053	0.002	0.014	0	PILRB
49452_at	6.64	6.39	6.98	0.089	0.006	0.367	0.114	ACACB
202324_s_at	7.23	7.34	6.71	0.081	0.005	0.15	0.018	ACBD3
202079_s_at	6.46	6.69	6.92	0.33	0.086	0.098	0.008	TRAK1
214222_at	7.36	7.41	8.13	0.024	0	0.042	0.001	DNAH7
208398_s_at	6.8	6.8	6.33	0.051	0.002	0.055	0.002	TBPL1
205292_s_at	8.61	9.03	9.46	0.289	0.065	0.06	0.003	HNRNPA2B1
202587_s_at	8.57	8.06	8.72	0.097	0.007	0.752	0.528	AK1
217845_x_at	8.48	8.66	7.88	0.071	0.004	0.153	0.019	HIGD1A
205288_at	4.34	3.94	5.18	0.026	0.001	0.087	0.006	CDC14A
210058_at	7.15	7.05	6.69	0.129	0.012	0.026	0	MAPK13
209042_s_at	6.01	6.03	6.62	0.029	0.001	0.051	0.002	UBE2G2
204294_at	7.22	7.04	7.83	0.033	0.001	0.044	0.001	AMT
212540_at	7.05	6.67	7.03	0.081	0.005	0.956	0.9	CDC34
209616_s_at	10.79	10.27	11.43	0.075	0.004	0.189	0.029	CES1
205322_s_at	6.17	6.4	7.36	0.16	0.019	0.087	0.006	MTF1
214169_at	6.02	5.53	5.29	0.562	0.277	0.047	0.001	UNC84A
