EnsemblID	Gene	Species	Gene Name
ENSG00000142102	PGGHG	Homo sapiens	protein-glucosylgalactosylhydroxylysine glucosidase(PGGHG)
ENSG00000120798	NR2C1	Homo sapiens	nuclear receptor subfamily 2 group C member 1(NR2C1)
ENSG00000203667	COX20	Homo sapiens	cytochrome c oxidase assembly factor COX20(COX20)
ENSG00000080298	RFX3	Homo sapiens	regulatory factor X3(RFX3)
ENSG00000225855	RUSC1-AS1	Homo sapiens	RUSC1 antisense RNA 1(RUSC1-AS1)
ENSG00000160051	IQCC	Homo sapiens	IQ motif containing C(IQCC)
ENSG00000186687	LYRM7	Homo sapiens	LYR motif containing 7(LYRM7)
ENSG00000164411	GJB7	Homo sapiens	gap junction protein beta 7(GJB7)
ENSG00000075702	WDR62	Homo sapiens	WD repeat domain 62(WDR62)
ENSG00000106477	CEP41	Homo sapiens	centrosomal protein 41(CEP41)
ENSG00000173372	C1QA	Homo sapiens	complement C1q A chain(C1QA)
ENSG00000197321	SVIL	Homo sapiens	supervillin(SVIL)
ENSG00000118482	PHF3	Homo sapiens	PHD finger protein 3(PHF3)
ENSG00000176401	EID2B	Homo sapiens	EP300 interacting inhibitor of differentiation 2B(EID2B)
ENSG00000132780	NASP	Homo sapiens	nuclear autoantigenic sperm protein(NASP)
ENSG00000177732	SOX12	Homo sapiens	SRY-box transcription factor 12(SOX12)
ENSG00000117122	MFAP2	Homo sapiens	microfibril associated protein 2(MFAP2)
ENSG00000122507	BBS9	Homo sapiens	Bardet-Biedl syndrome 9(BBS9)
ENSG00000184014	DENND5A	Homo sapiens	DENN domain containing 5A(DENND5A)
ENSG00000165757	JCAD	Homo sapiens	junctional cadherin 5 associated(JCAD)
ENSG00000109501	WFS1	Homo sapiens	wolframin ER transmembrane glycoprotein(WFS1)
ENSG00000140398	NEIL1	Homo sapiens	nei like DNA glycosylase 1(NEIL1)
ENSG00000248508	SRP14-DT	Homo sapiens	SRP14 divergent transcript(SRP14-DT)
ENSG00000126070	AGO3	Homo sapiens	argonaute RISC catalytic component 3(AGO3)
ENSG00000119782	FKBP1B	Homo sapiens	FKBP prolyl isomerase 1B(FKBP1B)
ENSG00000061987	MON2	Homo sapiens	MON2 homolog, regulator of endosome-to-Golgi trafficking(MON2)
ENSG00000160072	ATAD3B	Homo sapiens	ATPase family AAA domain containing 3B(ATAD3B)
ENSG00000138050	THUMPD2	Homo sapiens	THUMP domain 2 tRNA and snRNA guanosine methyltransferase(THUMPD2)
ENSG00000102901	CENPT	Homo sapiens	centromere protein T(CENPT)
ENSG00000188404	SELL	Homo sapiens	selectin L(SELL)
ENSG00000057019	DCBLD2	Homo sapiens	discoidin, CUB and LCCL domain containing 2(DCBLD2)
ENSG00000185379	RAD51D	Homo sapiens	RAD51 paralog D(RAD51D)
ENSG00000144741	SLC25A26	Homo sapiens	solute carrier family 25 member 26(SLC25A26)
ENSG00000151023	ENKUR	Homo sapiens	enkurin, TRPC channel interacting protein(ENKUR)
ENSG00000173391	OLR1	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)
ENSG00000126088	UROD	Homo sapiens	uroporphyrinogen decarboxylase(UROD)
ENSG00000132768	DPH2	Homo sapiens	diphthamide biosynthesis 2(DPH2)
ENSG00000131437	KIF3A	Homo sapiens	kinesin family member 3A(KIF3A)
ENSG00000197343	ZNF655	Homo sapiens	zinc finger protein 655(ZNF655)
ENSG00000176428	VPS37D	Homo sapiens	VPS37D subunit of ESCRT-I(VPS37D)
ENSG00000164440	TXLNB	Homo sapiens	taxilin beta(TXLNB)
ENSG00000185361	TNFAIP8L1	Homo sapiens	TNF alpha induced protein 8 like 1(TNFAIP8L1)
ENSG00000123810	B9D2	Homo sapiens	B9 domain containing 2(B9D2)
ENSG00000140379	BCL2A1	Homo sapiens	BCL2 related protein A1(BCL2A1)
ENSG00000177640	CASC2	Homo sapiens	cancer susceptibility 2(CASC2)
ENSG00000152464	RPP38	Homo sapiens	ribonuclease P/MRP subunit p38(RPP38)
ENSG00000173281	PPP1R3B	Homo sapiens	protein phosphatase 1 regulatory subunit 3B(PPP1R3B)
ENSG00000197256	KANK2	Homo sapiens	KN motif and ankyrin repeat domains 2(KANK2)
ENSG00000241058	NSUN6	Homo sapiens	NOP2/Sun RNA methyltransferase 6(NSUN6)
ENSG00000118557	PMFBP1	Homo sapiens	polyamine modulated factor 1 binding protein 1(PMFBP1)
ENSG00000163001	CFAP36	Homo sapiens	cilia and flagella associated protein 36(CFAP36)
ENSG00000140481	CCDC33	Homo sapiens	coiled-coil domain containing 33(CCDC33)
ENSG00000267680	ZNF224	Homo sapiens	zinc finger protein 224(ZNF224)
ENSG00000140488	CELF6	Homo sapiens	CUGBP Elav-like family member 6(CELF6)
ENSG00000163006	CCDC138	Homo sapiens	coiled-coil domain containing 138(CCDC138)
ENSG00000111907	TPD52L1	Homo sapiens	TPD52 like 1(TPD52L1)
ENSG00000130202	NECTIN2	Homo sapiens	nectin cell adhesion molecule 2(NECTIN2)
ENSG00000130203	APOE	Homo sapiens	apolipoprotein E(APOE)
ENSG00000105227	PRX	Homo sapiens	periaxin(PRX)
ENSG00000130208	APOC1	Homo sapiens	apolipoprotein C1(APOC1)
ENSG00000153789	CIBAR2	Homo sapiens	CBY1 interacting BAR domain containing 2(CIBAR2)
ENSG00000197249	SERPINA1	Homo sapiens	serpin family A member 1(SERPINA1)
ENSG00000140474	ULK3	Homo sapiens	unc-51 like kinase 3(ULK3)
ENSG00000213809	KLRK1	Homo sapiens	killer cell lectin like receptor K1(KLRK1)
ENSG00000185261	KIAA0825	Homo sapiens	KIAA0825(KIAA0825)
ENSG00000138160	KIF11	Homo sapiens	kinesin family member 11(KIF11)
ENSG00000159086	PAXBP1	Homo sapiens	PAX3 and PAX7 binding protein 1(PAXBP1)
ENSG00000258727	AP1G2-AS1	Homo sapiens	AP1G2 antisense RNA 1(AP1G2-AS1)
ENSG00000185267	CDNF	Homo sapiens	cerebral dopamine neurotrophic factor(CDNF)
ENSG00000225828	FAM229A	Homo sapiens	family with sequence similarity 229 member A(FAM229A)
ENSG00000177663	IL17RA	Homo sapiens	interleukin 17 receptor A(IL17RA)
ENSG00000105258	POLR2I	Homo sapiens	RNA polymerase II subunit I(POLR2I)
ENSG00000159079	CFAP298	Homo sapiens	cilia and flagella associated protein 298(CFAP298)
ENSG00000178999	AURKB	Homo sapiens	aurora kinase B(AURKB)
ENSG00000153774	CFDP1	Homo sapiens	craniofacial development protein 1(CFDP1)
ENSG00000042832	TG	Homo sapiens	thyroglobulin(TG)
ENSG00000140463	BBS4	Homo sapiens	Bardet-Biedl syndrome 4(BBS4)
ENSG00000095319	NUP188	Homo sapiens	nucleoporin 188(NUP188)
ENSG00000109610	SOD3	Homo sapiens	superoxide dismutase 3(SOD3)
ENSG00000140464	PML	Homo sapiens	PML nuclear body scaffold(PML)
ENSG00000176340	COX8A	Homo sapiens	cytochrome c oxidase subunit 8A(COX8A)
ENSG00000177674	AGTRAP	Homo sapiens	angiotensin II receptor associated protein(AGTRAP)
ENSG00000072694	FCGR2B	Homo sapiens	Fc gamma receptor IIb(FCGR2B)
ENSG00000117228	GBP1	Homo sapiens	guanylate binding protein 1(GBP1)
ENSG00000152433	ZNF547	Homo sapiens	zinc finger protein 547(ZNF547)
ENSG00000165695	AK8	Homo sapiens	adenylate kinase 8(AK8)
ENSG00000144810	COL8A1	Homo sapiens	collagen type VIII alpha 1 chain(COL8A1)
ENSG00000085998	POMGNT1	Homo sapiens	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)(POMGNT1)
ENSG00000085999	RAD54L	Homo sapiens	RAD54 like(RAD54L)
ENSG00000188313	PLSCR1	Homo sapiens	phospholipid scramblase 1(PLSCR1)
ENSG00000144815	NXPE3	Homo sapiens	neurexophilin and PC-esterase domain family member 3(NXPE3)
ENSG00000037474	NSUN2	Homo sapiens	NOP2/Sun RNA methyltransferase 2(NSUN2)
ENSG00000188316	ENO4	Homo sapiens	enolase 4(ENO4)
ENSG00000106571	GLI3	Homo sapiens	GLI family zinc finger 3(GLI3)
ENSG00000234797	RPS3AP6	Homo sapiens	RPS3A pseudogene 6(RPS3AP6)
ENSG00000165699	TSC1	Homo sapiens	TSC complex subunit 1(TSC1)
ENSG00000165698	SPACA9	Homo sapiens	sperm acrosome associated 9(SPACA9)
ENSG00000254389	RHPN1-AS1	Homo sapiens	RHPN1 antisense RNA 1 (head to head)(RHPN1-AS1)
ENSG00000198590	APRG1	Homo sapiens	APRG1 tumor suppressor candidate(APRG1)
ENSG00000103494	RPGRIP1L	Homo sapiens	RPGRIP1 like(RPGRIP1L)
ENSG00000213860	RPL21P75	Homo sapiens	ribosomal protein L21 pseudogene 75(RPL21P75)
ENSG00000246705	H2AJ	Homo sapiens	H2A.J histone(H2AJ)
ENSG00000128791	TWSG1	Homo sapiens	twisted gastrulation BMP signaling modulator 1(TWSG1)
ENSG00000120832	MTERF2	Homo sapiens	mitochondrial transcription termination factor 2(MTERF2)
ENSG00000163040	CCDC74A	Homo sapiens	coiled-coil domain containing 74A(CCDC74A)
ENSG00000082074	FYB1	Homo sapiens	FYN binding protein 1(FYB1)
ENSG00000168734	PKIG	Homo sapiens	cAMP-dependent protein kinase inhibitor gamma(PKIG)
ENSG00000147065	MSN	Homo sapiens	moesin(MSN)
ENSG00000141759	TXNL4A	Homo sapiens	thioredoxin like 4A(TXNL4A)
ENSG00000095370	SH2D3C	Homo sapiens	SH2 domain containing 3C(SH2D3C)
ENSG00000116793	PHTF1	Homo sapiens	putative homeodomain transcription factor 1(PHTF1)
ENSG00000048140	TSPAN17	Homo sapiens	tetraspanin 17(TSPAN17)
ENSG00000148399	DPH7	Homo sapiens	diphthamide biosynthesis 7(DPH7)
ENSG00000003989	SLC7A2	Homo sapiens	solute carrier family 7 member 2(SLC7A2)
ENSG00000163060	TEKT4	Homo sapiens	tektin 4(TEKT4)
ENSG00000179406	LINC00174	Homo sapiens	long intergenic non-protein coding RNA 174(LINC00174)
ENSG00000168754	FAM178B	Homo sapiens	family with sequence similarity 178 member B(FAM178B)
ENSG00000135063	ENTREP1	Homo sapiens	endosomal transmembrane epsin interactor 1(ENTREP1)
ENSG00000234745	HLA-B	Homo sapiens	major histocompatibility complex, class I, B(HLA-B)
ENSG00000141756	FKBP10	Homo sapiens	FKBP prolyl isomerase 10(FKBP10)
ENSG00000234741	GAS5	Homo sapiens	growth arrest specific 5(GAS5)
ENSG00000123094	RASSF8	Homo sapiens	Ras association domain family member 8(RASSF8)
ENSG00000105202	FBL	Homo sapiens	fibrillarin(FBL)
ENSG00000138109	CYP2C9	Homo sapiens	cytochrome P450 family 2 subfamily C member 9(CYP2C9)
ENSG00000163071	SPATA18	Homo sapiens	spermatogenesis associated 18(SPATA18)
ENSG00000135077	HAVCR2	Homo sapiens	hepatitis A virus cellular receptor 2(HAVCR2)
ENSG00000115486	GGCX	Homo sapiens	gamma-glutamyl carboxylase(GGCX)
ENSG00000139436	GIT2	Homo sapiens	GIT ArfGAP 2(GIT2)
ENSG00000188352	FOCAD	Homo sapiens	focadhesin(FOCAD)
ENSG00000135070	ISCA1	Homo sapiens	iron-sulfur cluster assembly 1(ISCA1)
ENSG00000163072	NOSTRIN	Homo sapiens	nitric oxide synthase trafficking(NOSTRIN)
ENSG00000135074	ADAM19	Homo sapiens	ADAM metallopeptidase domain 19(ADAM19)
ENSG00000163075	CFAP221	Homo sapiens	cilia and flagella associated protein 221(CFAP221)
ENSG00000118508	RAB32	Homo sapiens	RAB32, member RAS oncogene family(RAB32)
ENSG00000258701	VESTAR	Homo sapiens	VEGFC mRNA stability associated lncRNA(VESTAR)
ENSG00000176381	PRR18	Homo sapiens	proline rich 18(PRR18)
ENSG00000166105	GLB1L3	Homo sapiens	galactosidase beta 1 like 3(GLB1L3)
ENSG00000160803	UBQLN4	Homo sapiens	ubiquilin 4(UBQLN4)
ENSG00000244968	LIFR-AS1	Homo sapiens	LIFR antisense RNA 1(LIFR-AS1)
ENSG00000175063	UBE2C	Homo sapiens	ubiquitin conjugating enzyme E2 C(UBE2C)
ENSG00000176393	RNPEP	Homo sapiens	arginyl aminopeptidase(RNPEP)
ENSG00000150681	RGS18	Homo sapiens	regulator of G protein signaling 18(RGS18)
ENSG00000077514	POLD3	Homo sapiens	DNA polymerase delta 3, accessory subunit(POLD3)
ENSG00000175066	GK5	Homo sapiens	glycerol kinase 5(GK5)
ENSG00000064201	TSPAN32	Homo sapiens	tetraspanin 32(TSPAN32)
ENSG00000153714	LURAP1L	Homo sapiens	leucine rich adaptor protein 1 like(LURAP1L)
ENSG00000107816	LZTS2	Homo sapiens	leucine zipper tumor suppressor 2(LZTS2)
ENSG00000064205	CCN5	Homo sapiens	cellular communication network factor 5(CCN5)
ENSG00000163083	INHBB	Homo sapiens	inhibin subunit beta B(INHBB)
ENSG00000168772	CXXC4	Homo sapiens	CXXC finger protein 4(CXXC4)
ENSG00000140403	DNAJA4	Homo sapiens	DnaJ heat shock protein family (Hsp40) member A4(DNAJA4)
ENSG00000102125	TAFAZZIN	Homo sapiens	tafazzin, phospholipid-lysophospholipid transacylase(TAFAZZIN)
ENSG00000175061	SNHG29	Homo sapiens	small nucleolar RNA host gene 29(SNHG29)
ENSG00000140400	MAN2C1	Homo sapiens	mannosidase alpha class 2C member 1(MAN2C1)
ENSG00000176390	CRLF3	Homo sapiens	cytokine receptor like factor 3(CRLF3)
ENSG00000168778	TCTN2	Homo sapiens	tectonic family member 2(TCTN2)
ENSG00000015285	WAS	Homo sapiens	WASP actin nucleation promoting factor(WAS)
ENSG00000179431	FJX1	Homo sapiens	four-jointed box kinase 1(FJX1)
ENSG00000115425	PECR	Homo sapiens	peroxisomal trans-2-enoyl-CoA reductase(PECR)
ENSG00000163093	BBS5	Homo sapiens	Bardet-Biedl syndrome 5(BBS5)
ENSG00000116754	SRSF11	Homo sapiens	serine and arginine rich splicing factor 11(SRSF11)
ENSG00000115423	DNAH6	Homo sapiens	dynein axonemal heavy chain 6(DNAH6)
ENSG00000120802	TMPO	Homo sapiens	thymopoietin(TMPO)
ENSG00000126107	HECTD3	Homo sapiens	HECT domain E3 ubiquitin protein ligase 3(HECTD3)
ENSG00000166128	RAB8B	Homo sapiens	RAB8B, member RAS oncogene family(RAB8B)
ENSG00000147027	TMEM47	Homo sapiens	transmembrane protein 47(TMEM47)
ENSG00000147010	SH3KBP1	Homo sapiens	SH3 domain containing kinase binding protein 1(SH3KBP1)
ENSG00000115459	ELMOD3	Homo sapiens	ELMO domain containing 3(ELMOD3)
ENSG00000114127	XRN1	Homo sapiens	5'-3' exoribonuclease 1(XRN1)
ENSG00000150667	FSIP1	Homo sapiens	fibrous sheath interacting protein 1(FSIP1)
ENSG00000172803	SNX32	Homo sapiens	sorting nexin 32(SNX32)
ENSG00000166136	NDUFB8	Homo sapiens	NADH:ubiquinone oxidoreductase subunit B8(NDUFB8)
ENSG00000187079	TEAD1	Homo sapiens	TEA domain transcription factor 1(TEAD1)
ENSG00000172809	RPL38	Homo sapiens	ribosomal protein L38(RPL38)
ENSG00000178125	PPP1R42	Homo sapiens	protein phosphatase 1 regulatory subunit 42(PPP1R42)
ENSG00000243667	DNAAF10	Homo sapiens	dynein axonemal assembly factor 10(DNAAF10)
ENSG00000116774	OLFML3	Homo sapiens	olfactomedin like 3(OLFML3)
ENSG00000243660	ZNF487	Homo sapiens	zinc finger protein 487(ZNF487)
ENSG00000137691	CFAP300	Homo sapiens	cilia and flagella associated protein 300(CFAP300)
ENSG00000065518	NDUFB4	Homo sapiens	NADH:ubiquinone oxidoreductase subunit B4(NDUFB4)
ENSG00000188396	DYNLT4	Homo sapiens	dynein light chain Tctex-type 4(DYNLT4)
ENSG00000187066	TMEM262	Homo sapiens	transmembrane protein 262(TMEM262)
ENSG00000166147	FBN1	Homo sapiens	fibrillin 1(FBN1)
ENSG00000187068	C3orf70	Homo sapiens	chromosome 3 open reading frame 70(C3orf70)
ENSG00000147003	CLTRN	Homo sapiens	collectrin, amino acid transport regulator(CLTRN)
ENSG00000148339	SLC25A25	Homo sapiens	solute carrier family 25 member 25(SLC25A25)
ENSG00000204070	SYS1	Homo sapiens	SYS1 golgi trafficking protein(SYS1)
ENSG00000040275	SPDL1	Homo sapiens	spindle apparatus coiled-coil protein 1(SPDL1)
ENSG00000006194	ZNF263	Homo sapiens	zinc finger protein 263(ZNF263)
ENSG00000167483	NIBAN3	Homo sapiens	niban apoptosis regulator 3(NIBAN3)
ENSG00000124357	NAGK	Homo sapiens	N-acetylglucosamine kinase(NAGK)
ENSG00000100385	IL2RB	Homo sapiens	interleukin 2 receptor subunit beta(IL2RB)
ENSG00000180448	ARHGAP45	Homo sapiens	Rho GTPase activating protein 45(ARHGAP45)
ENSG00000272168	LOC105374971	Homo sapiens	uncharacterized LOC105374971(LOC105374971)
ENSG00000125691	RPL23	Homo sapiens	ribosomal protein L23(RPL23)
ENSG00000178149	DALRD3	Homo sapiens	DALR anticodon binding domain containing 3(DALRD3)
ENSG00000104738	MCM4	Homo sapiens	minichromosome maintenance complex component 4(MCM4)
ENSG00000112357	PEX7	Homo sapiens	peroxisomal biogenesis factor 7(PEX7)
ENSG00000166169	POLL	Homo sapiens	DNA polymerase lambda(POLL)
ENSG00000150625	GPM6A	Homo sapiens	glycoprotein M6A(GPM6A)
ENSG00000150628	SPATA4	Homo sapiens	spermatogenesis associated 4(SPATA4)
ENSG00000231621	ANKRD44-AS1	Homo sapiens	ANKRD44 antisense RNA 1(ANKRD44-AS1)
ENSG00000166165	CKB	Homo sapiens	creatine kinase B(CKB)
ENSG00000136319	TTC5	Homo sapiens	tetratricopeptide repeat domain 5(TTC5)
ENSG00000160867	FGFR4	Homo sapiens	fibroblast growth factor receptor 4(FGFR4)
ENSG00000166171	DPCD	Homo sapiens	deleted in primary ciliary dyskinesia homolog (mouse)(DPCD)
ENSG00000115415	STAT1	Homo sapiens	signal transducer and activator of transcription 1(STAT1)
ENSG00000166173	LARP6	Homo sapiens	La ribonucleoprotein 6, translational regulator(LARP6)
ENSG00000115414	FN1	Homo sapiens	fibronectin 1(FN1)
ENSG00000240583	AQP1	Homo sapiens	aquaporin 1 (Colton blood group)(AQP1)
ENSG00000116741	RGS2	Homo sapiens	regulator of G protein signaling 2(RGS2)
ENSG00000204052	LRRC73	Homo sapiens	leucine rich repeat containing 73(LRRC73)
ENSG00000251247	ZNF345	Homo sapiens	zinc finger protein 345(ZNF345)
ENSG00000272143	FGF14-AS2	Homo sapiens	FGF14 antisense RNA 2(FGF14-AS2)
ENSG00000196814	MVB12B	Homo sapiens	multivesicular body subunit 12B(MVB12B)
ENSG00000149639	MTCL2	Homo sapiens	microtubule crosslinking factor 2(MTCL2)
ENSG00000171517	LPAR3	Homo sapiens	lysophosphatidic acid receptor 3(LPAR3)
ENSG00000169203	NPIPB12	Homo sapiens	nuclear pore complex interacting protein family member B12(NPIPB12)
ENSG00000151948	GLT1D1	Homo sapiens	glycosyltransferase 1 domain containing 1(GLT1D1)
ENSG00000124334	IL9R	Homo sapiens	interleukin 9 receptor(IL9R)
ENSG00000148303	RPL7A	Homo sapiens	ribosomal protein L7a(RPL7A)
ENSG00000243627	SMIM34	Homo sapiens	small integral membrane protein 34(SMIM34)
ENSG00000146592	CREB5	Homo sapiens	cAMP responsive element binding protein 5(CREB5)
ENSG00000180481	GLIPR1L2	Homo sapiens	GLIPR1 like 2(GLIPR1L2)
ENSG00000099795	NDUFB7	Homo sapiens	NADH:ubiquinone oxidoreductase subunit B7(NDUFB7)
ENSG00000171533	MAP6	Homo sapiens	microtubule associated protein 6(MAP6)
ENSG00000169213	RAB3B	Homo sapiens	RAB3B, member RAS oncogene family(RAB3B)
ENSG00000157240	FZD1	Homo sapiens	frizzled class receptor 1(FZD1)
ENSG00000160883	HK3	Homo sapiens	hexokinase 3(HK3)
ENSG00000260372	AQP4-AS1	Homo sapiens	AQP4 antisense RNA 1(AQP4-AS1)
ENSG00000168010	ATG16L2	Homo sapiens	autophagy related 16 like 2(ATG16L2)
ENSG00000225131	PSME2P2	Homo sapiens	proteasome activator subunit 2 pseudogene 2(PSME2P2)
ENSG00000171659	GPR34	Homo sapiens	G protein-coupled receptor 34(GPR34)
ENSG00000168014	C2CD3	Homo sapiens	C2 domain containing 3 centriole elongation regulator(C2CD3)
ENSG00000157350	ST3GAL2	Homo sapiens	ST3 beta-galactoside alpha-2,3-sialyltransferase 2(ST3GAL2)
ENSG00000055332	EIF2AK2	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 2(EIF2AK2)
ENSG00000162711	NLRP3	Homo sapiens	NLR family pyrin domain containing 3(NLRP3)
ENSG00000107099	DOCK8	Homo sapiens	dedicator of cytokinesis 8(DOCK8)
ENSG00000100462	PRMT5	Homo sapiens	protein arginine methyltransferase 5(PRMT5)
ENSG00000184986	TMEM121	Homo sapiens	transmembrane protein 121(TMEM121)
ENSG00000079308	TNS1	Homo sapiens	tensin 1(TNS1)
ENSG00000184985	SORCS2	Homo sapiens	sortilin related VPS10 domain containing receptor 2(SORCS2)
ENSG00000182324	KCNJ14	Homo sapiens	potassium inwardly rectifying channel subfamily J member 14(KCNJ14)
ENSG00000068650	ATP11A	Homo sapiens	ATPase phospholipid transporting 11A(ATP11A)
ENSG00000182308	DCAF4L1	Homo sapiens	DDB1 and CUL4 associated factor 4 like 1(DCAF4L1)
ENSG00000213139	CRYGS	Homo sapiens	crystallin gamma S(CRYGS)
ENSG00000156011	PSD3	Homo sapiens	pleckstrin and Sec7 domain containing 3(PSD3)
ENSG00000104814	MAP4K1	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 1(MAP4K1)
ENSG00000170345	FOS	Homo sapiens	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
ENSG00000196954	CASP4	Homo sapiens	caspase 4(CASP4)
ENSG00000240771	ARHGEF25	Homo sapiens	Rho guanine nucleotide exchange factor 25(ARHGEF25)
ENSG00000137752	CASP1	Homo sapiens	caspase 1(CASP1)
ENSG00000168028	RPSA	Homo sapiens	ribosomal protein SA(RPSA)
ENSG00000125779	PANK2	Homo sapiens	pantothenate kinase 2(PANK2)
ENSG00000182310	SPACA6	Homo sapiens	sperm acrosome associated 6(SPACA6)
ENSG00000183644	HOATZ	Homo sapiens	HOATZ cilia and flagella associated protein(HOATZ)
ENSG00000094914	AAAS	Homo sapiens	aladin WD repeat nucleoporin(AAAS)
ENSG00000162729	IGSF8	Homo sapiens	immunoglobulin superfamily member 8(IGSF8)
ENSG00000158669	GPAT4	Homo sapiens	glycerol-3-phosphate acyltransferase 4(GPAT4)
ENSG00000181004	BBS12	Homo sapiens	Bardet-Biedl syndrome 12(BBS12)
ENSG00000213123	DYNLT2B	Homo sapiens	dynein light chain Tctex-type 2B(DYNLT2B)
ENSG00000215784	FAM72D	Homo sapiens	family with sequence similarity 72 member D(FAM72D)
ENSG00000215788	TNFRSF25	Homo sapiens	TNF receptor superfamily member 25(TNFRSF25)
ENSG00000116824	CD2	Homo sapiens	CD2 molecule(CD2)
ENSG00000157330	CFAP107	Homo sapiens	cilia and flagella associated protein 107(CFAP107)
ENSG00000134698	AGO4	Homo sapiens	argonaute RISC component 4(AGO4)
ENSG00000174705	SH3PXD2B	Homo sapiens	SH3 and PX domains 2B(SH3PXD2B)
ENSG00000168038	ULK4	Homo sapiens	unc-51 like kinase 4(ULK4)
ENSG00000134690	CDCA8	Homo sapiens	cell division cycle associated 8(CDCA8)
ENSG00000125743	SNRPD2	Homo sapiens	small nuclear ribonucleoprotein D2 polypeptide(SNRPD2)
ENSG00000162733	DDR2	Homo sapiens	discoidin domain receptor tyrosine kinase 2(DDR2)
ENSG00000120051	CFAP58	Homo sapiens	cilia and flagella associated protein 58(CFAP58)
ENSG00000162735	PEX19	Homo sapiens	peroxisomal biogenesis factor 19(PEX19)
ENSG00000091879	ANGPT2	Homo sapiens	angiopoietin 2(ANGPT2)
ENSG00000144026	ZNF514	Homo sapiens	zinc finger protein 514(ZNF514)
ENSG00000120055	C10orf95	Homo sapiens	chromosome 10 open reading frame 95(C10orf95)
ENSG00000125740	FOSB	Homo sapiens	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)
ENSG00000100483	VCPKMT	Homo sapiens	valosin containing protein lysine methyltransferase(VCPKMT)
ENSG00000182329	KIAA2012	Homo sapiens	KIAA2012(KIAA2012)
ENSG00000214447	FAM187A	Homo sapiens	family with sequence similarity 187 member A(FAM187A)
ENSG00000146670	CDCA5	Homo sapiens	cell division cycle associated 5(CDCA5)
ENSG00000162739	SLAMF6	Homo sapiens	SLAM family member 6(SLAMF6)
ENSG00000170364	SETMAR	Homo sapiens	SET domain and mariner transposase fusion gene(SETMAR)
ENSG00000136404	TM6SF1	Homo sapiens	transmembrane 6 superfamily member 1(TM6SF1)
ENSG00000174718	RESF1	Homo sapiens	retroelement silencing factor 1(RESF1)
ENSG00000251432	LINC02615	Homo sapiens	long intergenic non-protein coding RNA 2615(LINC02615)
ENSG00000169379	ARL13B	Homo sapiens	ARF like GTPase 13B(ARL13B)
ENSG00000003096	KLHL13	Homo sapiens	kelch like family member 13(KLHL13)
ENSG00000203797	DDO	Homo sapiens	D-aspartate oxidase(DDO)
ENSG00000246090	LOC100507053	Homo sapiens	uncharacterized LOC100507053(LOC100507053)
ENSG00000120063	GNA13	Homo sapiens	G protein subunit alpha 13(GNA13)
ENSG00000137707	BTG4	Homo sapiens	BTG anti-proliferation factor 4(BTG4)
ENSG00000132010	ZNF20	Homo sapiens	zinc finger protein 20(ZNF20)
ENSG00000205560	CPT1B	Homo sapiens	carnitine palmitoyltransferase 1B(CPT1B)
ENSG00000183690	EFHC2	Homo sapiens	EF-hand domain containing 2(EFHC2)
ENSG00000081665	ZNF506	Homo sapiens	zinc finger protein 506(ZNF506)
ENSG00000168056	LTBP3	Homo sapiens	latent transforming growth factor beta binding protein 3(LTBP3)
ENSG00000100422	CERK	Homo sapiens	ceramide kinase(CERK)
ENSG00000162755	KLHDC9	Homo sapiens	kelch domain containing 9(KLHDC9)
ENSG00000145331	TRMT10A	Homo sapiens	tRNA methyltransferase 10A(TRMT10A)
ENSG00000213186	TRIM59	Homo sapiens	tripartite motif containing 59(TRIM59)
ENSG00000108389	MTMR4	Homo sapiens	myotubularin related protein 4(MTMR4)
ENSG00000272323	TTC23L-AS1	Homo sapiens	TTC23L antisense RNA 1(TTC23L-AS1)
ENSG00000261652	PIERCE2	Homo sapiens	piercer of microtubule wall 2(PIERCE2)
ENSG00000068697	LAPTM4A	Homo sapiens	lysosomal protein transmembrane 4 alpha(LAPTM4A)
ENSG00000078018	MAP2	Homo sapiens	microtubule associated protein 2(MAP2)
ENSG00000067369	TP53BP1	Homo sapiens	tumor protein p53 binding protein 1(TP53BP1)
ENSG00000168062	BATF2	Homo sapiens	basic leucine zipper ATF-like transcription factor 2(BATF2)
ENSG00000168060	NAALADL1	Homo sapiens	N-acetylated alpha-linked acidic dipeptidase like 1(NAALADL1)
ENSG00000134686	PHC2	Homo sapiens	polyhomeotic homolog 2(PHC2)
ENSG00000247363	LOC100507250	Homo sapiens	uncharacterized LOC100507250(LOC100507250)
ENSG00000100418	DESI1	Homo sapiens	desumoylating isopeptidase 1(DESI1)
ENSG00000120049	KCNIP2	Homo sapiens	potassium voltage-gated channel interacting protein 2(KCNIP2)
ENSG00000125735	TNFSF14	Homo sapiens	TNF superfamily member 14(TNFSF14)
ENSG00000100416	TRMU	Homo sapiens	tRNA mitochondrial 2-thiouridylase(TRMU)
ENSG00000079335	CDC14A	Homo sapiens	cell division cycle 14A(CDC14A)
ENSG00000124406	ATP8A1	Homo sapiens	ATPase phospholipid transporting 8A1(ATP8A1)
